TRIP
DATE 2025-08-21
DECLINATION 0.0
DATA
0		329.86	13.49	6.855	>
0		329.93	13.47	6.856	>
0		329.86	13.41	6.849	>
0	1	329.88	13.46	6.853	>
1		28.93	60.19	6.490	>
1		28.79	60.14	6.487	>
1		28.88	60.24	6.491	>
1	2	28.87	60.19	6.489	>
2		39.57	-31.99	0.931	>
2		239.28	-31.34	1.068	>
2		277.02	-79.54	1.613	>
2		16.62	-34.24	3.484	>
2		313.94	-6.95	4.569	>
2		313.96	-6.87	4.565	>
2		314.07	-6.87	4.593	>
2	3	313.99	-6.90	4.576	>
3		32.60	78.05	0.922	>
3		258.04	28.73	1.781	>
3		207.17	22.16	2.527	>
3		71.71	-0.54	1.089	>
3		54.00	-31.75	6.167	>
3		327.72	-20.45	8.707	>
3		327.61	-20.53	8.705	>
3		327.63	-20.47	8.719	>
3	4	327.66	-20.49	8.710	>
4		12.68	-3.11	2.523	>
4		339.11	-10.50	2.001	>
4		272.98	68.18	5.695	>
4		271.18	-69.99	1.889	>
4		229.93	6.37	3.080	>
4		265.78	2.57	3.275	>
4		318.76	-5.44	5.577	>
4		296.61	-3.21	13.677	>
4		296.38	-3.14	13.670	>
4		296.35	-3.19	13.671	>
4	5	296.45	-3.18	13.673	>
5		151.66	85.44	4.121	>
5		193.62	-85.53	4.986	>
5		156.21	-0.76	2.551	>
5		134.15	6.82	6.671	>
5		104.74	7.20	5.577	>
5		54.37	3.86	5.290	>
5		38.21	3.28	5.899	>
5		39.30	6.59	5.964	>
5		71.14	-57.29	1.631	>
5		274.44	27.80	3.064	>
5		274.28	27.99	3.084	>
5		274.39	28.03	3.081	>
5	6	274.37	27.94	3.076	>
6		354.20	6.73	0.794	>
6		359.22	79.95	3.032	>
6		270.09	-71.13	5.350	>
6		251.54	8.32	5.291	>
6		251.72	8.35	5.285	>
6		251.60	8.36	5.283	>
6	7	251.62	8.34	5.286	>
7		12.94	-11.15	3.319	>
7		55.81	-4.63	2.671	>
7		92.14	5.63	3.041	>
7		136.33	7.09	1.856	>
7		89.37	-82.16	1.404	>
