Ciekawa, studnia z mlotkiem
SURVEY NAME: 14
SURVEY DATE: 11 8 2020	 COMMENT: 
SURVEY TEAM:
Akf 2020.08.11
DECLINATION: 0.00	FORMAT: DMMDLRUDLADNF	CORRECTIONS: 0.00 0.00 0.00

FROM	TO	LENGTH	BEARING	INC	LEFT	UP	DOWN	RIGHT	FLAGS	COMMENTS

0	0	0.0	0.0	0.0	0	0	0	0		
0	0a	2.3654856399999997	263.91357421875	-3.0322265625	0	0	0	0	#|L#	
0	0a	4.88188992	312.099609375	0.802001953125	0	0	0	0	#|L#	
0	0a	13.22506604	145.96435546875	-7.8607177734375	0	0	0	0	#|L#	
0	1	30.39042092	5.943603515625	-88.0206298828125	0	0	0	0		
1	1a	15.810367959999999	149.0679931640625	-0.791015625	0	0	0	0	#|L#	
1	1a	7.326115720000001	104.4744873046875	0.81298828125	0	0	0	0	#|L#	
1	1a	14.43241516	68.6041259765625	9.1021728515625	0	0	0	0	#|L#	
1	1a	10.63320244	129.7760009765625	1.593017578125	0	0	0	0	#|L#	
1	1a	10.84973788	88.96728515625	3.197021484375	0	0	0	0	#|L#	
1	1a	10.95472476	104.5733642578125	-49.1473388671875	0	0	0	0	#|L#	
1	2	13.285214773333333	79.54833984375	-8.8531494140625	0	0	0	0		
2	2a	2.2112861600000002	219.2926025390625	21.4892578125	0	0	0	0	#|L#	
2	2a	3.5662730799999998	12.1563720703125	40.6329345703125	0	0	0	0	#|L#	
2	2a	10.62007908	239.2218017578125	83.968505859375	0	0	0	0	#|L#	
2	2a	11.08595836	203.3184814453125	-79.508056640625	0	0	0	0	#|L#	
2	2a	9.478346759999999	145.4534912109375	-0.4010009765625	0	0	0	0	#|L#	
2	2a	2.94619432	305.167236328125	15.0238037109375	0	0	0	0	#|L#	
2	3	13.055555973333334	148.8720703125	-33.372802734375	0	0	0	0		
1	1.1	16.070647933333333	143.70849609375	-23.2159423828125	0	0	0	0		
1.1	1.1a	2.78215232	135.0714111328125	-18.1109619140625	0	0	0	0	#|L#	
1.1	1.1a	1.5912074	355.3857421875	9.7613525390625	0	0	0	0	#|L#	
1.1	1.1a	3.53346468	78.3160400390625	43.450927734375	0	0	0	0	#|L#	
1.1	1.1a	2.6279528400000003	46.7742919921875	-77.5469970703125	0	0	0	0	#|L#	
1.1	1.2	9.920166546666668	68.587646484375	-16.6790771484375	0	0	0	0		
1.2	1.2a	10.6463258	317.3291015625	-9.7723388671875	0	0	0	0	#|L#	
1.2	1.2a	2.88057752	297.7294921875	-3.27392578125	0	0	0	0	#|L#	
1.2	1.2a	9.09120764	311.4019775390625	68.4283447265625	0	0	0	0	#|L#	
1.2	1.2a	4.8720474000000005	281.9256591796875	-75.1025390625	0	0	0	0	#|L#	
1.2	1.2a	3.25459328	280.1348876953125	-0.8953857421875	0	0	0	0	#|L#	
1.2	1.3	13.513779959999999	215.8538818359375	-42.0849609375	0	0	0	0		
1.3	1.3a	13.408793079999999	215.4254150390625	-41.9622802734375	0	0	0	0	#|L#	
1.3	1.3a	1.25000004	251.3397216796875	-6.009521484375	0	0	0	0	#|L#	
1.3	1.3a	1.4271654	333.446044921875	-0.54931640625	0	0	0	0	#|L#	
1.3	1.3a	8.11679816	43.26416015625	1.4886474609375	0	0	0	0	#|L#	
1.3	1.3a	4.48490828	64.4952392578125	8.1243896484375	0	0	0	0	#|L#	
1.3	1.3a	5.54790044	269.4122314453125	75.3277587890625	0	0	0	0	#|L#	
1.3	1.4	14.419291799999998	199.2041015625	-47.6751708984375	0	0	0	0		
1.4	1.4a	6.11548576	65.10498046875	10.8270263671875	0	0	0	0	#|L#	
1.4	1.4a	7.496719400000001	22.4395751953125	9.8272705078125	0	0	0	0	#|L#	
1.4	1.4a	12.083333719999999	16.4849853515625	8.3331298828125	0	0	0	0	#|L#	
1.4	1.4a	4.14370092	351.375732421875	9.03076171875	0	0	0	0	#|L#	
1.4	1.4a	11.804462319999999	12.1728515625	66.8133544921875	0	0	0	0	#|L#	
1.4	1.4a	3.0938321199999996	60.062255859375	-13.1231689453125	0	0	0	0	#|L#	
1.4	1.4a	6.358267919999999	171.1175537109375	8.8604736328125	0	0	0	0	#|L#	
1.4	1.5	11.28280876	79.0576171875	6.52587890625	0	0	0	0		
1.5	1.5a	2.94619432	314.5989990234375	9.525146484375	0	0	0	0	#|L#	
1.5	1.5a	4.72112876	281.3214111328125	7.0477294921875	0	0	0	0	#|L#	
1.5	1.5a	4.7473754800000005	271.7193603515625	5.218505859375	0	0	0	0	#|L#	
1.5	1.5a	3.9534122000000003	331.1663818359375	11.09619140625	0	0	0	0	#|L#	
1.5	1.5a	3.0872704399999997	253.0755615234375	15.4412841796875	0	0	0	0	#|L#	
1.5	1.5a	3.0872704399999997	253.0755615234375	15.4412841796875	0	0	0	0	#|L#	
1.5	1.6	9.405074666666668	155.6707763671875	16.365966796875	0	0	0	0		
1.6	1.6a	11.400919	172.935791015625	-21.104736328125	0	0	0	0	#|L#	
1.6	1.6a	3.7270342399999996	133.9508056640625	-86.7205810546875	0	0	0	0	#|L#	
1.6	1.6a	10.672572520000001	135.4449462890625	-87.4127197265625	0	0	0	0	#|L#	
1.6	1.6a	0.99409452	257.5250244140625	-3.3837890625	0	0	0	0	#|L#	
1.6	1.6a	4.20275604	242.6715087890625	55.008544921875	0	0	0	0	#|L#	
1.6	1.7	11.3845148	172.53662109375	-21.060791015625	0	0	0	0		
1.7	1.7a	1.148294	86.781005859375	0.6976318359375	0	0	0	0	#|L#	
1.7	1.7a	4.0518374	137.252197265625	87.9400634765625	0	0	0	0	#|L#	
1.7	1.7a	3.0872704399999997	15.3314208984375	8.0255126953125	0	0	0	0	#|L#	
1.7	1.7a	0.4757218	159.510498046875	-81.4306640625	0	0	0	0	#|L#	
1.7	1.7a	0.48228348	156.7803955078125	-81.3922119140625	0	0	0	0	#|L#	
1.7	1.8	9.866579493333331	163.0718994140625	-81.81884765625	0	0	0	0		
1.8	1.9	9.825022186666668	160.924072265625	-81.741943359375	0	0	0	0		
1.9	1.9a	4.839239	185.8831787109375	1.0272216796875	0	0	0	0	#|L#	
1.9	1.9a	2.3359580799999997	214.2279052734375	-71.1309814453125	0	0	0	0	#|L#	
1.9	1.9a	11.47309748	211.6571044921875	87.396240234375	0	0	0	0	#|L#	
1.9	1.9a	5.9711288	335.8685302734375	1.2689208984375	0	0	0	0	#|L#	
1.9	1.10	4.723315986666667	184.661865234375	5.1287841796875	0	0	0	0		
1.10	1.10a	2.8740158399999998	268.055419921875	6.3116455078125	0	0	0	0	#|L#	
1.10	1.10a	2.95603684	209.696044921875	13.765869140625	0	0	0	0	#|L#	
1.10	1.10a	5.52493456	244.423828125	-71.6033935546875	0	0	0	0	#|L#	
1.10	1.10a	1.8667979599999998	302.6458740234375	-13.4527587890625	0	0	0	0	#|L#	
1.10	1.10a	12.68700828	304.2279052734375	83.572998046875	0	0	0	0	#|L#	
