TRIP
DATE 2005-07-01 
DECLINATION     0.00
DATA
1.0	1.1	177.79	1.28	7.199	>
1.1	1.2	253.35	-1.09	7.767	>
1.2	1.3	255.13	-33.32	2.103	>
1.3	1.4	307.94	28.07	3.052	>
1.4		185.57	-8.74	1.771	>
1.4		239.93	0.44	6.300	>
1.4		249.14	39.50	8.270	>
1.4		201.04	-50.08	2.760	>
1.4		309.98	41.31	2.540	>
1.4	1.5	224.04	-18.02	2.920	>
1.5		298.55	73.54	12.900	>
1.5	1.6	155.71	-65.98	4.622	>
1.6		50.44	3.84	2.990	>
1.6		85.78	-75.47	7.040	>
1.6	1.7	106.13	-60.49	6.380	>
1.7		232.87	6.17	1.350	>
1.7		203.19	8.54	1.859	>
1.7		181.96	4.33	4.170	>
1.7		168.85	3.75	5.580	>
1.7		156.57	1.78	4.411	>
1.7		147.95	-3.84	3.570	>
1.7		142.33	-5.27	3.190	>
1.7	1.8	150.16	-76.00	16.326	>
1.8		328.97	8.02	4.200	>
1.8		334.56	5.54	5.881	>
1.8		349.40	2.25	6.340	>
1.8		348.88	-12.64	7.370	>
1.8		1.54	-0.94	6.690	>
1.8		17.30	2.60	3.191	>
1.8		42.06	1.87	2.140	>
1.8		93.29	-0.53	1.080	>
1.8	1.9	357.44	-23.05	9.336	>
1.9		342.41	-1.73	4.670	>
1.9		281.66	-1.58	1.560	>
1.9		328.52	77.45	2.380	>
1.9	1.10	73.64	-68.15	5.943	>
1.10		348.16	2.39	1.561	>
1.10		135.98	2.13	1.240	>
1.10		61.59	-15.29	3.390	>
1.10	1.11	42.50	-43.82	6.093	>
1.11		233.28	-55.25	1.370	>
1.11		216.90	2.80	3.520	>
1.11	1.12	297.16	0.03	3.766	>
1.12		297.29	73.46	9.030	>
1.12		32.72	-63.46	2.410	>
1.12		23.63	-55.74	6.350	>
1.12		355.48	-43.87	4.400	>
1.12		64.85	7.60	0.931	>
1.12	1.13	352.30	-0.76	4.474	>
1.13		69.02	-77.88	4.070	>
1.13		201.38	56.97	10.210	>
1.13		209.34	1.49	2.039	>
1.13	1.14	226.78	5.16	11.842	>
1.14		67.86	-65.61	2.230	>
1.14		60.38	56.74	2.460	>
1.14		84.40	-1.25	2.060	>
1.14	1.15	184.54	-22.16	9.036	>
1.15		321.44	-63.88	0.630	>
1.15		356.74	58.19	5.070	>
1.15		287.26	0.59	1.170	>
1.15		112.14	8.20	2.510	>
1.15		244.24	-0.68	0.921	>
1.15	1.16	244.23	-0.47	2.820	>
1.16		65.58	4.66	1.490	>
1.16		128.30	-36.88	0.940	>
1.16		131.73	-46.37	0.790	>
1.16		7.83	83.27	5.260	>
1.16	1.17	176.56	7.66	2.693	>
1.17		307.60	-49.85	1.200	>
1.17		314.10	66.07	3.770	>
1.17		310.95	-0.09	1.860	>
1.17	1.18	261.85	11.15	5.739	>
1.18		54.15	2.69	3.000	>
1.18		103.13	-2.01	1.710	>
1.18		192.27	-1.72	2.270	>
1.18		345.99	84.92	6.300	>
1.18		293.48	-27.10	6.120	>
1.18		182.81	-59.74	1.820	>
1.18	1.19	168.25	-0.33	9.190	>
1.19		4.59	68.58	1.060	>
1.19		31.35	-45.36	1.130	>
1.19		37.98	7.65	1.390	>
1.19	1.20	126.69	-7.87	3.986	>
1.20		226.72	31.50	1.160	>
1.20		234.46	-43.58	0.321	>
1.20		250.34	-11.11	1.520	>
1.20	1.21	192.74	4.49	4.163	>
1.21		100.35	76.48	1.500	>
1.21		102.11	-59.36	0.580	>
1.21		72.70	13.10	1.160	>
1.21	1.22	157.99	21.67	3.900	>
1.22		268.55	49.98	2.091	>
1.22		231.03	-82.61	1.780	>
1.22		263.88	-5.65	1.291	>
1.22	1.23	234.02	-6.11	5.382	>
1.23		173.56	73.85	3.300	>
1.23		136.40	-85.91	1.220	>
1.23		104.99	3.49	1.150	>
1.23	1.24	165.21	8.47	3.430	>
1.24		271.64	71.47	4.720	>
1.24		242.41	-76.02	1.760	>
1.24		278.54	-8.64	0.599	>
1.24	1.25	203.15	-1.60	3.753	>
1.25		172.15	80.17	9.010	>
1.25		123.56	-76.94	1.640	>
1.25		85.68	4.83	1.639	>
1.25	1.26	153.29	1.35	4.919	>
1.26		29.88	75.31	7.290	>
1.26		52.88	16.94	2.210	>
1.26	1.27	25.32	41.48	6.710	>
1.27		72.83	82.58	3.670	>
1.27		119.54	-64.47	8.660	>
1.27		138.64	5.41	1.040	>
1.27	1.28	28.32	-15.91	1.660	>
1.27	1.29	28.22	-15.81	1.660	>
1.29		231.42	-2.82	0.570	>
1.29		235.23	76.80	3.870	>
1.29		142.59	-65.47	14.830	>
1.29	1.30	326.92	35.72	2.209	>
1.30		86.65	3.25	0.600	>
1.30		63.00	83.02	3.410	>
1.30		55.79	-83.44	1.620	>
1.30	1.31	23.18	5.00	2.009	>
1.31		143.39	4.36	0.540	>
1.31		179.46	87.89	2.910	>
1.31		151.55	-83.59	1.580	>
1.31	1.32	36.84	-5.38	3.543	>
1.32		174.79	-13.30	0.861	>
1.32		131.60	75.07	3.661	>
1.32		156.75	-76.95	1.200	>
1.32	1.33	146.90	4.40	3.130	>
1.33		9.46	-3.10	0.500	>
1.33		53.48	80.78	3.470	>
1.33		19.98	-82.26	1.130	>
1.33	1.34	95.27	3.03	7.316	>
1.34		229.67	65.08	6.970	>
1.34		244.31	-77.40	1.470	>
1.34		237.93	4.78	0.720	>
1.34	1.35	179.82	11.25	6.033	>
1.35		85.24	86.77	5.550	>
1.35		137.52	-78.72	2.550	>
1.35		268.57	-41.69	0.430	>
1.35	1.36	183.10	23.72	3.436	>
1.36		309.94	41.39	0.920	>
1.36		249.19	-67.96	1.260	>
1.36		305.82	5.16	0.601	>
1.36	1.37	228.88	19.20	4.826	>
1.37		62.32	-9.60	1.260	>
1.37	1.38	123.29	-41.59	1.942	>
1.38		312.01	80.44	13.851	>
1.38		273.42	-70.12	2.020	>
1.38		255.87	13.01	0.791	>
1.38	1.39	164.47	39.03	4.730	>
1.39		266.38	73.93	8.570	>
1.39		267.90	-84.16	1.880	>
1.39		200.21	7.02	1.310	>
1.39		208.10	10.51	5.970	>
1.39		218.09	11.60	5.900	>
1.39		239.80	13.08	4.269	>
1.39		262.88	12.58	1.960	>
1.39		313.78	10.63	2.950	>
1.39		332.90	2.93	4.051	>
1.39		350.55	3.58	2.929	>
1.39		10.49	-2.92	2.079	>
1.11	1.40	139.14	-1.31	7.353	>
1.40		347.32	41.28	0.831	>
1.40		339.44	-64.89	1.470	>
1.40		346.41	-6.47	2.990	>
1.40		15.80	0.98	2.160	>
1.40	1.41	42.99	-2.22	7.833	>
1.41		351.69	72.69	1.790	>
1.41		164.32	-83.31	2.320	>
1.41		291.60	-13.39	0.600	>
1.41	1.42	2.90	-28.20	3.003	>
1.42		114.61	65.08	3.180	>
1.42		190.33	-55.83	1.350	>
1.42		128.06	6.90	0.990	>
1.42	1.43	63.99	-30.30	8.769	>
1.43		260.17	82.18	5.340	>
1.43		251.74	-22.02	2.841	>
1.43		147.25	23.09	1.300	>
1.43	1.44	54.58	-47.30	9.213	>
1.44		163.14	79.45	1.450	>
1.44		181.34	-73.80	1.230	>
1.44		184.79	9.06	0.800	>
1.44	1.45	131.16	-7.98	3.106	>
1.45		256.67	61.03	1.710	>
1.45		258.26	-6.01	0.420	>
1.45		53.57	-76.83	1.811	>
1.45	1.46	159.04	-17.92	9.456	>
1.46	1.47	304.68	-1.64	1.883	>
1.47		219.75	79.17	8.590	>
1.47		154.04	-88.04	2.470	>
1.47		151.09	-7.54	1.730	>
1.47		212.26	2.34	3.380	>
1.47	1.48	150.51	6.63	1.949	>
1.48		213.14	1.89	2.390	>
1.48	1.49	119.62	-17.01	6.671	>
1.49		211.63	-45.06	1.091	>
1.49		33.11	-27.62	2.060	>
1.49		50.28	-72.48	1.990	>
1.49	1.50	106.98	-15.20	6.486	>
1.50		227.56	68.72	5.100	>
1.50		35.98	-82.90	1.570	>
1.50		240.42	0.36	0.960	>
1.50	1.51	149.99	0.67	6.883	>
1.51		232.84	64.07	4.990	>
1.51		49.36	-74.07	2.170	>
1.51		260.04	2.97	0.810	>
1.51	1.52	209.59	-22.88	2.556	>
1.52		78.69	85.24	4.360	>
1.52		101.62	-56.44	1.490	>
1.52		94.60	3.62	1.300	>
1.52	1.53	126.29	-27.15	4.973	>
1.53		135.60	84.72	4.400	>
1.53		127.96	-75.96	2.640	>
1.53		236.54	16.75	0.580	>
1.53	1.54	150.30	23.38	3.336	>
1.54		61.57	-18.42	0.870	>
1.54		34.39	79.88	3.870	>
1.54		109.57	-82.79	4.970	>

PLAN
STATIONS
0.278	-7.192	1.1
-7.162	-9.417	1.2
-8.860	-9.868	1.3
-10.984	-8.212	1.4
-12.914	-10.208	1.5
-12.140	-11.923	1.6
-9.121	-12.796	1.7
-7.156	-16.222	1.8
-7.540	-7.640	1.9
-5.418	-7.017	1.10
-2.448	-3.776	1.11
-5.799	-2.057	1.12
-6.398	2.376	1.13
-14.993	-5.700	1.14
-15.655	-14.042	1.15
-18.194	-15.268	1.16
-18.034	-17.932	1.17
-23.608	-18.730	1.18
-21.737	-27.727	1.19
-18.571	-30.086	1.20
-19.486	-34.134	1.21
-18.128	-37.494	1.22
-22.459	-40.638	1.23
-21.593	-43.918	1.24
-23.068	-47.367	1.25
-20.858	-51.760	1.26
-18.708	-47.216	1.27
-17.951	-45.811	1.28
-17.953	-45.809	1.29
-18.932	-44.306	1.30
-18.144	-42.466	1.31
-16.029	-39.643	1.32
-14.325	-42.257	1.33
-7.050	-42.928	1.34
-7.031	-48.845	1.35
-7.201	-51.986	1.36
-10.634	-54.983	1.37
-9.420	-55.780	1.38
-8.436	-59.320	1.39
2.361	-9.336	1.40
7.698	-3.611	1.41
7.832	-0.968	1.42
14.637	2.352	1.43
19.729	5.973	1.44
22.045	3.948	1.45
25.264	-4.454	1.46
23.716	-3.383	1.47
24.669	-5.068	1.48
30.214	-8.221	1.49
36.200	-10.049	1.50
39.642	-16.009	1.51
38.479	-18.057	1.52
42.046	-20.676	1.53
43.563	-23.336	1.54
SHOTS
42.046	-20.676	43.563	-23.336
43.563	-23.336	44.289	-22.943
43.563	-23.336	43.947	-22.775
43.563	-23.336	44.151	-23.545
38.479	-18.057	42.046	-20.676
42.046	-20.676	42.329	-20.965
42.046	-20.676	42.551	-21.070
42.046	-20.676	41.583	-20.982
39.642	-16.009	38.479	-18.057
38.479	-18.057	38.834	-17.986
38.479	-18.057	39.286	-18.223
38.479	-18.057	39.772	-18.161
36.200	-10.049	39.642	-16.009
39.642	-16.009	37.903	-17.327
39.642	-16.009	40.094	-15.621
39.642	-16.009	38.845	-16.149
30.214	-8.221	36.200	-10.049
36.200	-10.049	34.834	-11.298
36.200	-10.049	36.314	-9.892
36.200	-10.049	35.365	-10.523
24.669	-5.068	30.214	-8.221
30.214	-8.221	29.810	-8.877
30.214	-8.221	31.211	-6.692
30.214	-8.221	30.675	-7.838
23.716	-3.383	24.669	-5.068
24.669	-5.068	23.363	-7.068
25.264	-4.454	23.716	-3.383
23.716	-3.383	22.684	-4.624
23.716	-3.383	23.753	-3.459
23.716	-3.383	24.545	-4.884
23.716	-3.383	21.913	-6.239
22.045	3.948	25.264	-4.454
19.729	5.973	22.045	3.948
22.045	3.948	21.239	3.757
22.045	3.948	21.636	3.863
22.045	3.948	22.377	4.193
14.637	2.352	19.729	5.973
19.729	5.973	19.806	5.719
19.729	5.973	19.721	5.630
19.729	5.973	19.663	5.186
7.832	-0.968	14.637	2.352
14.637	2.352	13.921	2.228
14.637	2.352	12.136	1.527
14.637	2.352	15.284	1.346
7.698	-3.611	7.832	-0.968
7.832	-0.968	9.050	-1.526
7.832	-0.968	7.696	-1.714
7.832	-0.968	8.606	-1.574
2.361	-9.336	7.698	-3.611
7.698	-3.611	7.621	-3.084
7.698	-3.611	7.771	-3.871
7.698	-3.611	7.155	-3.396
-2.448	-3.776	2.361	-9.336
2.361	-9.336	2.224	-8.727
2.361	-9.336	2.142	-8.752
2.361	-9.336	1.663	-6.448
2.361	-9.336	2.949	-7.258
-9.420	-55.780	-8.436	-59.320
-8.436	-59.320	-10.804	-59.470
-8.436	-59.320	-8.627	-59.327
-8.436	-59.320	-8.885	-60.540
-8.436	-59.320	-11.201	-64.498
-8.436	-59.320	-12.001	-63.869
-8.436	-59.320	-12.030	-61.412
-8.436	-59.320	-10.334	-59.557
-8.436	-59.320	-10.529	-57.314
-8.436	-59.320	-10.279	-55.719
-8.436	-59.320	-8.916	-56.436
-8.436	-59.320	-8.058	-57.278
-10.634	-54.983	-9.420	-55.780
-9.420	-55.780	-11.130	-54.240
-9.420	-55.780	-10.106	-55.739
-9.420	-55.780	-10.167	-55.968
-7.201	-51.986	-10.634	-54.983
-10.634	-54.983	-9.534	-54.406
-7.031	-48.845	-7.201	-51.986
-7.201	-51.986	-7.730	-51.543
-7.201	-51.986	-7.643	-52.154
-7.201	-51.986	-7.686	-51.636
-7.050	-42.928	-7.031	-48.845
-7.031	-48.845	-6.719	-48.819
-7.031	-48.845	-6.694	-49.213
-7.031	-48.845	-7.352	-48.853
-14.325	-42.257	-7.050	-42.928
-7.050	-42.928	-9.289	-44.829
-7.050	-42.928	-7.339	-43.067
-7.050	-42.928	-7.658	-43.309
-16.029	-39.643	-14.325	-42.257
-14.325	-42.257	-14.243	-41.765
-14.325	-42.257	-13.878	-41.926
-14.325	-42.257	-14.273	-42.114
-18.144	-42.466	-16.029	-39.643
-16.029	-39.643	-15.953	-40.477
-16.029	-39.643	-15.324	-40.269
-16.029	-39.643	-15.922	-39.892
-18.932	-44.306	-18.144	-42.466
-18.144	-42.466	-17.823	-42.898
-18.144	-42.466	-18.143	-42.573
-18.144	-42.466	-18.060	-42.621
-17.953	-45.809	-18.932	-44.306
-18.932	-44.306	-18.334	-44.271
-18.932	-44.306	-18.563	-44.118
-18.932	-44.306	-18.779	-44.202
-18.708	-47.216	-17.953	-45.809
-17.953	-45.809	-18.398	-46.164
-17.953	-45.809	-18.679	-46.313
-17.953	-45.809	-14.213	-50.699
-18.708	-47.216	-17.951	-45.811
-20.858	-51.760	-18.708	-47.216
-18.708	-47.216	-18.255	-47.076
-18.708	-47.216	-15.461	-49.056
-18.708	-47.216	-18.024	-47.993
-23.068	-47.367	-20.858	-51.760
-20.858	-51.760	-19.937	-50.157
-20.858	-51.760	-19.172	-50.484
-21.593	-43.918	-23.068	-47.367
-23.068	-47.367	-22.858	-48.891
-23.068	-47.367	-22.759	-47.572
-23.068	-47.367	-21.439	-47.244
-22.459	-40.638	-21.593	-43.918
-21.593	-43.918	-23.092	-43.875
-21.593	-43.918	-21.970	-44.115
-21.593	-43.918	-22.179	-43.830
-18.128	-37.494	-22.459	-40.638
-22.459	-40.638	-22.356	-41.550
-22.459	-40.638	-22.399	-40.701
-22.459	-40.638	-21.350	-40.935
-19.486	-34.134	-18.128	-37.494
-18.128	-37.494	-19.472	-37.528
-18.128	-37.494	-18.306	-37.638
-18.128	-37.494	-19.405	-37.631
-18.571	-30.086	-19.486	-34.134
-19.486	-34.134	-19.141	-34.197
-19.486	-34.134	-19.197	-34.196
-19.486	-34.134	-18.407	-33.798
-21.737	-27.727	-18.571	-30.086
-18.571	-30.086	-19.291	-30.764
-18.571	-30.086	-18.760	-30.221
-18.571	-30.086	-19.976	-30.588
