Ciepła
SURVEY NAME: 4
SURVEY DATE: 18 8 2025	 COMMENT: Studnie i pozime partie za partiami Adrenalina na Maxa
SURVEY TEAM:
Asia Królewicz (rysunek), Piotr Kopera (Distox)
DECLINATION: 0.00	FORMAT: DMMDLRUDLADNF	CORRECTIONS: 0.00 0.00 0.00

FROM	TO	LENGTH	BEARING	INC	LEFT	UP	DOWN	RIGHT	FLAGS	COMMENTS

0	0	0.0	0.0	0.0	0	0	0	0		
0	1	12.925415986666668	166.04736328125	37.994384765625	0	0	0	0		
1	2	7.256124466666666	47.3876953125	-6.70166015625	0	0	0	0		
2	2a	3.45800536	198.775634765625	3.9166259765625	0	0	0	0	#|L#	
2	2a	16.25984304	147.1783447265625	-3.80126953125	0	0	0	0	#|L#	
2	2a	4.3143046	209.586181640625	-67.96142578125	0	0	0	0	#|L#	
2	2a	5.0557744399999995	226.922607421875	-65.1434326171875	0	0	0	0	#|L#	
2	2a	14.00262512	223.516845703125	67.2088623046875	0	0	0	0	#|L#	
2	3	7.940726413333334	142.6959228515625	-37.3883056640625	0	0	0	0		
3	3a	1.2959318	31.4373779296875	2.515869140625	0	0	0	0	#|L#	
3	3a	1.27296592	31.717529296875	-0.7635498046875	0	0	0	0	#|L#	
3	3a	2.19160112	340.8343505859375	-39.3475341796875	0	0	0	0	#|L#	
3	3a	5.3215224800000005	84.825439453125	80.8648681640625	0	0	0	0	#|L#	
3	3a	29.91797996	244.259033203125	-82.8314208984375	0	0	0	0	#|L#	
3	3a	34.82939744	245.91796875	-81.7108154296875	0	0	0	0	#|L#	
3	3a	35.13123472	245.1983642578125	-81.7767333984375	0	0	0	0	#|L#	
3	4	35.104988	245.5	-81.75	0	0	0	0		
4	4a	7.2670606	352.19970703125	2.28515625	0	0	0	0	#|L#	
4	4a	9.82283496	298.114013671875	-0.4779052734375	0	0	0	0	#|L#	
4	4a	9.1699478	289.0887451171875	-0.3076171875	0	0	0	0	#|L#	
4	4a	3.32021008	257.84912109375	-1.2249755859375	0	0	0	0	#|L#	
4	4a	5.10826788	348.5302734375	-54.07470703125	0	0	0	0	#|L#	
4	4a	17.71981684	291.3519287109375	48.966064453125	0	0	0	0	#|L#	
4	5	26.948819760000003	294.422607421875	-5.537109375	0	0	0	0		
5	5a	1.93241476	196.0455322265625	2.98828125	0	0	0	0	#|L#	
5	5a	9.48490844	235.2008056640625	82.8369140625	0	0	0	0	#|L#	
5	5a	23.129922	337.049560546875	-78.3160400390625	0	0	0	0	#|L#	
5	5a	23.13976452	337.5604248046875	-78.3489990234375	0	0	0	0	#|L#	
5	5a	23.14960704	337.69775390625	-78.4149169921875	0	0	0	0	#|L#	
5	5a	0.51181104	208.399658203125	-19.92919921875	0	0	0	0	#|L#	
5	6	23.191164346666664	335.057373046875	-78.145751953125	0	0	0	0		
6	6a	5.43307104	216.7822265625	-3.36181640625	0	0	0	0	#|L#	
6	6a	6.1679791999999996	197.1221923828125	-3.4771728515625	0	0	0	0	#|L#	
6	6a	8.3333336	172.584228515625	-3.065185546875	0	0	0	0	#|L#	
6	6a	10.3838586	153.87451171875	-2.493896484375	0	0	0	0	#|L#	
6	6a	6.94881912	115.718994140625	2.0709228515625	0	0	0	0	#|L#	
6	6a	3.15616808	81.0955810546875	-1.6864013671875	0	0	0	0	#|L#	
6	6a	4.26181116	228.482666015625	2.0050048828125	0	0	0	0	#|L#	
6	6a	0.82349084	301.7120361328125	2.83447265625	0	0	0	0	#|L#	
6	6a	6.804462159999999	243.25927734375	48.69140625	0	0	0	0	#|L#	
6	6a	11.33858304	226.6259765625	49.4659423828125	0	0	0	0	#|L#	
6	6a	30.016405159999998	285.1611328125	67.0330810546875	0	0	0	0	#|L#	
6	6a	4.917979160000001	138.05419921875	-52.97607421875	0	0	0	0	#|L#	
6	6a	13.3858272	186.295166015625	-54.404296875	0	0	0	0	#|L#	
6	7	15.336833386666667	151.9976806640625	8.6627197265625	0	0	0	0		
7	7a	2.2801837999999996	264.869384765625	-7.49267578125	0	0	0	0	#|L#	
7	7a	4.53084004	223.0279541015625	0.5548095703125	0	0	0	0	#|L#	
7	7a	3.99278228	170.2496337890625	-0.2581787109375	0	0	0	0	#|L#	
7	7a	5.51509204	191.5631103515625	-0.516357421875	0	0	0	0	#|L#	
7	7a	32.61483044	241.556396484375	-71.82861328125	0	0	0	0	#|L#	
7	8	27.105206466666665	266.8707275390625	-78.739013671875	0	0	0	0		
8	8a	5.48556448	230.9710693359375	-5.2459716796875	0	0	0	0	#|L#	
8	8a	9.91797932	177.242431640625	-1.9940185546875	0	0	0	0	#|L#	
8	8a	18.5695544	162.26806640625	-3.7408447265625	0	0	0	0	#|L#	
8	8a	17.90682472	151.380615234375	-4.130859375	0	0	0	0	#|L#	
8	8a	15.74147032	139.1363525390625	-2.48291015625	0	0	0	0	#|L#	
8	8a	11.73556468	128.43017578125	-0.3680419921875	0	0	0	0	#|L#	
8	8a	8.30380604	116.279296875	2.4114990234375	0	0	0	0	#|L#	
8	8a	6.61417344	87.8411865234375	2.2137451171875	0	0	0	0	#|L#	
8	8a	7.4475068	65.028076171875	5.7623291015625	0	0	0	0	#|L#	
8	8a	7.21456716	38.3367919921875	3.3453369140625	0	0	0	0	#|L#	
8	8a	9.996719480000001	14.534912109375	2.6092529296875	0	0	0	0	#|L#	
8	8a	18.6843838	357.5830078125	-2.197265625	0	0	0	0	#|L#	
8	8a	16.286089760000003	352.738037109375	-2.9827880859375	0	0	0	0	#|L#	
8	8a	5.0524936	349.2938232421875	-3.9605712890625	0	0	0	0	#|L#	
8	8a	3.4809712399999997	330.963134765625	-9.3109130859375	0	0	0	0	#|L#	
8	8a	2.0669292	297.421875	-16.468505859375	0	0	0	0	#|L#	
8	8a	5.67913404	103.392333984375	-57.83203125	0	0	0	0	#|L#	
8	9	18.557524653333335	152.80517578125	-10.3802490234375	0	0	0	0		
9	9a	4.32086628	199.171142578125	-5.1580810546875	0	0	0	0	#|L#	
9	9a	1.89960636	150.677490234375	14.501953125	0	0	0	0	#|L#	
9	9a	3.17257228	187.6025390625	-20.1214599609375	0	0	0	0	#|L#	
9	9a	2.5754594	223.87939453125	-39.814453125	0	0	0	0	#|L#	
9	9a	2.5098426	201.6485595703125	33.6895751953125	0	0	0	0	#|L#	
9	9a	1.48622052	167.7886962890625	35.8428955078125	0	0	0	0	#|L#	
9	9a	12.04724448	158.5107421875	3.526611328125	0	0	0	0	#|L#	
9	10	12.397200746666666	159.6990966796875	0.4888916015625	0	0	0	0		
10	10a	3.06102372	17.127685546875	7.9156494140625	0	0	0	0	#|L#	
10	10a	2.86417332	78.8983154296875	-84.957275390625	0	0	0	0	#|L#	
10	10a	10.93832056	265.7757568359375	-82.6226806640625	0	0	0	0	#|L#	
10	11	15.590551679999999	92.3052978515625	16.8914794921875	0	0	0	0		
11	11a	2.19160112	329.996337890625	1.1700439453125	0	0	0	0	#|L#	
11	11a	1.61417328	312.901611328125	-75.9649658203125	0	0	0	0	#|L#	
11	11a	1.7913386400000002	319.6527099609375	46.6094970703125	0	0	0	0	#|L#	
11	11a	11.93897676	48.2684326171875	25.147705078125	0	0	0	0	#|L#	
11	11a	1.8832021599999997	18.5009765625	37.68310546875	0	0	0	0	#|L#	
11	11a	11.79790064	48.2354736328125	26.751708984375	0	0	0	0	#|L#	
11	11a	11.76509224	47.8179931640625	27.169189453125	0	0	0	0	#|L#	
11	11a	48.67454224	47.889404296875	27.1527099609375	0	0	0	0	#|L#	
11	12	11.854768533333333	48.475341796875	27.4859619140625	0	0	0	0		
12	12a	1.67979008	272.373046875	0.8294677734375	0	0	0	0	#|L#	
12	12a	1.35498692	249.598388671875	42.451171875	0	0	0	0	#|L#	
12	12a	3.6220473600000003	284.0240478515625	-56.8927001953125	0	0	0	0	#|L#	
12	13	8.892170013333333	12.1929931640625	19.801025390625	0	0	0	0		
