[280] Alvermannschacht
SURVEY NAME: ALVERMANN - SESJA 6
SURVEY DATE: 8 2 2003  COMMENT:   Pawel Skoworodko, William Hunt, Marcin Kaniewski
SURVEY TEAM:

DECLINATION:     1.75  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

al94         al93            27.89   320.00     0.00     0.00     0.00     0.00     0.00
al95         al94            20.34   324.00     0.00     0.00     0.00     0.00     0.00
al96         al95            15.42     0.00    90.00     0.00     0.00     0.00     0.00
al97         al96            25.59   332.00     0.00     0.00     0.00     0.00     0.00
al98         al97            17.39     0.00    90.00     0.00     0.00     0.00     0.00
al99         al98            20.51   350.00     0.00     0.00     0.00     0.00     0.00
al100        al99            64.63     0.00    90.00     0.00     0.00     0.00     0.00
al101        al100           16.40   278.00     0.00     0.00     0.00     0.00     0.00
al102        al101            4.59     0.00    90.00     0.00     0.00     0.00     0.00
al103        al102           33.14   360.00     0.00     0.00     0.00     0.00     0.00
al104        al103           16.73   360.00   -10.00     0.00     0.00     0.00     0.00
al105        al104           17.39   348.00    52.00     0.00     0.00     0.00     0.00
al106        al105           27.89   344.00     0.00     0.00     0.00     0.00     0.00
al107        al106           19.69   294.00    82.00     0.00     0.00     0.00     0.00

[280] Alvermannschacht
SURVEY NAME: ALVERMANN - SESJA 5
SURVEY DATE: 8 3 2003  COMMENT:   Rafa³ Mathea, Agnieszka Mathea
SURVEY TEAM:

DECLINATION:     1.75  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

al77         al78            20.87   172.00   -12.00     0.00     0.00     0.00     0.00
al78         al79             7.35   180.00   -18.00     0.00     0.00     0.00     0.00
al79         al80            20.70   110.00   -34.00     0.00     0.00     0.00     0.00
al80         al81            35.14   158.00   -32.00     0.00     0.00     0.00     0.00
al81         al82            20.83   124.00   -22.00     0.00     0.00     0.00     0.00
al82         al83            35.86     0.00   -90.00     0.00     0.00     0.00     0.00
al83         al84            21.13    90.00   -20.00     0.00     0.00     0.00     0.00
al84         al85             7.32   150.00   -18.00     0.00     0.00     0.00     0.00
al85         al86            64.04    81.00   -60.00     0.00     0.00     0.00     0.00
al86         al87            32.38   140.00   -28.00     0.00     0.00     0.00     0.00
al87         al88            11.32    79.00   -30.00     0.00     0.00     0.00     0.00
al88         al89            20.37   140.00   -12.00     0.00     0.00     0.00     0.00
al89         al90             3.97    67.00    -8.00     0.00     0.00     0.00     0.00
al90         al91            13.06   122.00    -8.00     0.00     0.00     0.00     0.00
al91         al92            31.59   130.00    -8.00     0.00     0.00     0.00     0.00
al92         al93             4.99   182.00   -62.00     0.00     0.00     0.00     0.00

[280] Alvermannschacht
SURVEY NAME: ALVERMANN - SESJA 4
SURVEY DATE: 8 3 2003  COMMENT:   Marcin Zamorski, Jaroslaw Jezusek, Maja Juniewicz
SURVEY TEAM:

DECLINATION:     1.75  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

al59         al60             4.59   222.00    -4.00     0.00     0.00     0.00     0.00
al60         al61            25.85   106.00   -48.00     0.00     0.00     0.00     0.00
al61         al62             4.43    36.00    18.00     0.00     0.00     0.00     0.00
al62         al63            46.92    96.00   -82.00     0.00     0.00     0.00     0.00
al63         al64            33.07   348.00   -84.00     0.00     0.00     0.00     0.00
al64         al65            42.09   360.00    14.00     0.00     0.00     0.00     0.00
al65         al66            13.71    40.00   -80.00     0.00     0.00     0.00     0.00
al66         al67             7.84   352.00   -42.00     0.00     0.00     0.00     0.00
al67         al68            59.71     0.00   -90.00     0.00     0.00     0.00     0.00
al68         al69            20.90    76.00     0.00     0.00     0.00     0.00     0.00
al69         al70             9.74   330.00    -5.00     0.00     0.00     0.00     0.00
al70         al71            15.39   112.00     6.00     0.00     0.00     0.00     0.00
al71         al72             3.61   130.00   -18.00     0.00     0.00     0.00     0.00
al72         al73             9.71   136.00   -50.00     0.00     0.00     0.00     0.00
al73         al74            34.68   118.00   -64.00     0.00     0.00     0.00     0.00
al74         al75            16.93    18.00     4.00     0.00     0.00     0.00     0.00
al75         al76            64.63    10.00   -86.00     0.00     0.00     0.00     0.00
al76         al77            51.64     0.00   -90.00     0.00     0.00     0.00     0.00

[280] Alvermannschacht
SURVEY NAME: ALVERMANN - SESJA 3
SURVEY DATE: 8 22 2002  COMMENT:   Darek B. & Vasco
SURVEY TEAM:

DECLINATION:     1.67  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

al41         al42             9.55    10.00    -9.00     0.00     0.00     0.00     0.00
al42         al43            10.70   330.00    18.00     0.00     0.00     0.00     0.00
al43         al44            12.57    12.00    27.00     0.00     0.00     0.00     0.00
al44         al45            39.60    25.00    -4.50     0.00     0.00     0.00     0.00
al45         al46             8.04   190.00     1.80     0.00     0.00     0.00     0.00
al46         al47             6.56    40.00   -19.80     0.00     0.00     0.00     0.00
al47         al48            47.97    90.00   -63.00     0.00     0.00     0.00     0.00
al48         al49             7.28   150.00     1.80     0.00     0.00     0.00     0.00
al49         al50            12.89   205.00   -31.50     0.00     0.00     0.00     0.00
al50         al51             6.66   110.00     9.00     0.00     0.00     0.00     0.00
al51         al52             5.58    30.00    22.50     0.00     0.00     0.00     0.00
al52         al53            12.14   100.00   -27.00     0.00     0.00     0.00     0.00
al53         al54            29.43    95.00   -67.50     0.00     0.00     0.00     0.00
al54         al55            13.16    35.00   -22.50     0.00     0.00     0.00     0.00
al55         al56             5.54   358.00   -22.50     0.00     0.00     0.00     0.00
al56         al57             6.59   320.00   -15.30     0.00     0.00     0.00     0.00
al57         al58            14.04    85.00     6.30     0.00     0.00     0.00     0.00
al58         al59             3.77   153.00     9.00     0.00     0.00     0.00     0.00

[280] Alvermannschacht
SURVEY NAME: ALVERMANN - SESJA 2
SURVEY DATE: 8 22 2002  COMMENT:   Darek&Zbyszek
SURVEY TEAM:

DECLINATION:     1.67  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

al16         al22             4.92    92.00   -81.00     0.00     0.00     0.00     0.00
al22         al23            72.18     0.00   -90.00     0.00     0.00     0.00     0.00
al23         al24            14.96    32.00   -44.00     0.00     0.00     0.00     0.00
al24         al25            18.41   258.00   -46.00     0.00     0.00     0.00     0.00
al25         al26            46.49     0.00   -90.00     0.00     0.00     0.00     0.00
al26         al27             6.96   235.00   -72.00     0.00     0.00     0.00     0.00
al27         al27'           12.20   171.00   -36.00     0.00     0.00     0.00     0.00
al27         al28            11.25   352.00   -20.00     0.00     0.00     0.00     0.00
al28         al29             7.32   232.00     0.00     0.00     0.00     0.00     0.00
al29         al30             9.71   223.00     0.00     0.00     0.00     0.00     0.00
al30         al31             4.04     0.00   -90.00     0.00     0.00     0.00     0.00
al31         al32            11.15   188.00   -12.00     0.00     0.00     0.00     0.00
al32         al33            26.90     0.00   -90.00     0.00     0.00     0.00     0.00
al33         al34            14.50   128.00   -42.00     0.00     0.00     0.00     0.00
al34         al35            40.62     0.00   -90.00     0.00     0.00     0.00     0.00
al35         al36            21.19   108.00   -13.00     0.00     0.00     0.00     0.00
al36         al37             8.40   156.00    -8.00     0.00     0.00     0.00     0.00
al37         al38            16.11    55.00   -58.00     0.00     0.00     0.00     0.00
al38         al39            13.75    45.00   -69.00     0.00     0.00     0.00     0.00
al39         al41             4.27   132.00     0.00     0.00     0.00     0.00     0.00

[280] Alvermannschacht
SURVEY NAME: ALVERMANN - 1 SESJA
SURVEY DATE: 8 2 2002  COMMENT:   Dariusz Bartoszewski, Darek, Marcin Zamorski
SURVEY TEAM:

DECLINATION:     1.66  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

al1          al2             10.33   185.00    -4.50     0.00     0.00     0.00     0.00
al2          al3             41.17   175.00   -54.00     0.00     0.00     0.00     0.00
al3          al4             65.62     0.00   -90.00     0.00     0.00     0.00     0.00
al4          al5             51.02   250.00   -81.00     0.00     0.00     0.00     0.00
al5          al6             66.04     0.00   -90.00     0.00     0.00     0.00     0.00
al6          al7              1.97   165.00     0.00     0.00     0.00     0.00     0.00
al7          al8             65.62     0.00   -90.00     0.00     0.00     0.00     0.00
al8          al9              3.31    75.00     0.00     0.00     0.00     0.00     0.00
al9          al10            14.21   255.00   -63.00     0.00     0.00     0.00     0.00
al10         al11            20.67   190.00    -7.20     0.00     0.00     0.00     0.00
al11         al12            14.93   135.00   -25.20     0.00     0.00     0.00     0.00
al12         al13           118.77     0.00   -90.00     0.00     0.00     0.00     0.00
al13         al13'            3.67   105.00     0.00     0.00     0.00     0.00     0.00
al13'        al14            53.81     0.00   -90.00     0.00     0.00     0.00     0.00
al14         al15            14.93    65.00    -3.60     0.00     0.00     0.00     0.00
al15         al16            18.70    88.00   -58.50     0.00     0.00     0.00     0.00


