[421] Tschikpausenhohle
SURVEY NAME: TSCHIKPAUSENHOHLE
SURVEY DATE: 8 7 2014  COMMENT:  ;dm
SURVEY TEAM:

DECLINATION:     3.03  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

J:t1         J:1.1            8.79   313.35   -43.76     0.00     0.00     0.00     0.00
J:1.1        J:1.2           20.51   324.01   -21.16     0.00     0.00     0.00     0.00
J:1.2        J:1.3           26.64     3.41   -17.24     0.00     0.00     0.00     0.00
J:1.3        J:1.4            1.77   328.36   -29.86     0.00     0.00     0.00     0.00
J:1.4        J:1.5           10.40   338.45   -19.27     0.00     0.00     0.00     0.00
J:1.5        J:1.6           12.07   320.68   -28.08     0.00     0.00     0.00     0.00
J:1.6        J:1.7           11.75    21.96   -47.29     0.00     0.00     0.00     0.00
J:1.7        J:1.8            9.22   338.19    17.20     0.00     0.00     0.00     0.00
J:1.8        J:1.9           11.22   247.59   -10.21     0.00     0.00     0.00     0.00
J:1.9        J:1.10          15.91   256.96    16.72     0.00     0.00     0.00     0.00
J:1.8        J:1.11           4.40    61.02   -30.62     0.00     0.00     0.00     0.00
J:1.11       J:1.12           6.69    56.66    17.52     0.00     0.00     0.00     0.00
J:1.12       J:1.122         18.57    76.88     2.01     0.00     0.00     0.00     0.00
J:1.8        J:1.13           5.09   179.32   -29.54     0.00     0.00     0.00     0.00
J:1.13       J:1.14           9.02    80.12   -84.78     0.00     0.00     0.00     0.00
J:1.14       J:1.15           7.48   256.59   -67.02     0.00     0.00     0.00     0.00
J:1.10       J:1.10.1        13.06   241.42   -12.74     0.00     0.00     0.00     0.00  ;domiar
J:1.15       J:1.15.2        62.11   243.90   -51.49     0.00     0.00     0.00     0.00  ;domiar
J:1.15       J:1.15.1       101.05   120.07   -83.91     0.00     0.00     0.00     0.00  ;domiar


