[425] St. Blasius-Labyrinth
SURVEY NAME: ST. BLASIUS-LABYRINTH [425]
SURVEY DATE: 3 1 2010  COMMENT:   TODO otwory zdaje sie sa dwa
SURVEY TEAM:

DECLINATION:     2.45  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

bl00         bl01            23.62   211.50   -19.80     0.00     0.00     0.00     0.00
bl01         bl02            21.65   279.90     0.90     0.00     0.00     0.00     0.00
bl02         bl03            12.80   205.20    29.70     0.00     0.00     0.00     0.00
bl03         bl04            11.81   234.00   -18.90     0.00     0.00     0.00     0.00
bl04         bl05            12.14   323.10   -20.70     0.00     0.00     0.00     0.00
bl05         bl06            20.34    46.80   -21.60     0.00     0.00     0.00     0.00
bl06         bl07            18.37   325.80    24.30     0.00     0.00     0.00     0.00
bl07         bl07a           22.97    90.00   -31.50     0.00     0.00     0.00     0.00
bl07         bl08            12.80   314.10    35.10     0.00     0.00     0.00     0.00
bl08         bl09            15.42     2.70   -27.00     0.00     0.00     0.00     0.00
bl09         bl10            32.48   263.70     9.00     0.00     0.00     0.00     0.00
bl10         bl11            23.95   217.80    -0.90     0.00     0.00     0.00     0.00
bl11         bl12            18.21   198.90    12.60     0.00     0.00     0.00     0.00
bl12         bl13            60.70   259.20    11.70     0.00     0.00     0.00     0.00
bl13         bl14            24.93   224.10    10.80     0.00     0.00     0.00     0.00
bl14         bl15            12.80   290.70    20.70     0.00     0.00     0.00     0.00
bl15         bl16            13.78   268.20     7.20     0.00     0.00     0.00     0.00
bl16         bl17            26.25   262.80    51.30     0.00     0.00     0.00     0.00
bl17         bl18            12.80   189.00    11.70     0.00     0.00     0.00     0.00
bl18         bl19            36.09   275.40    37.80     0.00     0.00     0.00     0.00
bl19         bl20            36.09   255.60    38.70     0.00     0.00     0.00     0.00
bl05         bl05'           12.14   323.10   -20.70     0.00     0.00     0.00     0.00
bl05'        bl21            26.90   242.10   -20.70     0.00     0.00     0.00     0.00
bl21         bl22            12.47   279.90   -25.20     0.00     0.00     0.00     0.00
bl22         bl23            18.37   218.70     4.50     0.00     0.00     0.00     0.00
bl23         bl24            14.76   212.40     7.20     0.00     0.00     0.00     0.00
bl24         bl25             8.86   128.70   -18.00     0.00     0.00     0.00     0.00
bl25         bl25a           22.97    90.00   -49.50     0.00     0.00     0.00     0.00
bl25a        bl25b           18.37   232.20   -27.00     0.00     0.00     0.00     0.00
bl25         bl26            14.44   164.70    10.80     0.00     0.00     0.00     0.00
bl26         bl27            13.78   197.10    23.40     0.00     0.00     0.00     0.00
bl27         bl28             3.28   130.50    45.00     0.00     0.00     0.00     0.00
bl28         bl28a           24.61   119.70   -38.70     0.00     0.00     0.00     0.00
bl28a        bl28b           20.67   200.70   -50.40     0.00     0.00     0.00     0.00
bl28         bl29             2.95     0.00    90.00     0.00     0.00     0.00     0.00
bl29         bl30             7.55   228.60    46.80     0.00     0.00     0.00     0.00
bl30         bl31            21.00   219.60   -26.10     0.00     0.00     0.00     0.00
bl31         bl32            27.89   312.30    -7.20     0.00     0.00     0.00     0.00
bl32         bl33            29.20   286.20   -27.00     0.00     0.00     0.00     0.00
bl33         bl33a           16.40   231.30     4.50     0.00     0.00     0.00     0.00
bl33a        bl33b           37.07   186.30   -36.00     0.00     0.00     0.00     0.00
bl33b        bl33c           15.75   254.70    -5.40     0.00     0.00     0.00     0.00
bl33         bl34            12.47   221.40   -22.50     0.00     0.00     0.00     0.00
bl34         bl35            21.65   325.80    34.20     0.00     0.00     0.00     0.00
bl35         bl36            36.42   244.80   -28.80     0.00     0.00     0.00     0.00


