[479] Kasztanowa Kastanienhohle
SURVEY NAME: PETLA NAD DZIURAWYM KOMINEM
SURVEY DATE: 8 3 2003  COMMENT:   Marcin Kaniewski(book), Jaroslaw Jezusek(Instruments)
SURVEY TEAM:

DECLINATION:     1.76  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

b"9          mp2             28.12   275.00    54.00     0.00     0.00     0.00     0.00
mp2          mp3             12.63   275.00   -23.00     0.00     0.00     0.00     0.00
mp3          mp4             35.93   268.00    79.00     0.00     0.00     0.00     0.00
mp4          mp5             11.91    52.00    76.00     0.00     0.00     0.00     0.00
mp5          mp6              9.32   230.00    78.00     0.00     0.00     0.00     0.00
mp6          mp7              8.27   234.00    19.00     0.00     0.00     0.00     0.00
mp7          mp8              2.66   280.00    14.00     0.00     0.00     0.00     0.00
mp8          mp9             17.49   336.00    12.00     0.00     0.00     0.00     0.00
mp9          mp10             5.31   196.00   -30.00     0.00     0.00     0.00     0.00
mp10         mp11            18.64   311.00    69.00     0.00     0.00     0.00     0.00
mp11         mp12            31.33   346.00     2.00     0.00     0.00     0.00     0.00
mp12         mp13            13.81   357.00   -14.00     0.00     0.00     0.00     0.00
mp13         mp14             9.94    10.00   -46.00     0.00     0.00     0.00     0.00
mp14         mp15            42.52     0.00   -90.00     0.00     0.00     0.00     0.00
mp15         mp16            17.98   142.00     7.00     0.00     0.00     0.00     0.00
mp16         mp17            10.50   182.00   -16.00     0.00     0.00     0.00     0.00
mp17         mp18             9.48   131.00   -39.00     0.00     0.00     0.00     0.00
mp18         mp19             6.04   146.00    13.00     0.00     0.00     0.00     0.00
mp19         mp20            18.86    96.00   -59.00     0.00     0.00     0.00     0.00
mp20         mp21            22.87     0.00   -90.00     0.00     0.00     0.00     0.00
mp21         z1              13.48    58.00    -3.00     0.00     0.00     0.00     0.00

[479] Kasztanowa Kastanienhohle
SURVEY NAME: OD DZIURAWEJ STUDNI DO GRIFONU
SURVEY DATE: 8 3 2003  COMMENT:   Dariusz Bartoszewski(book),Rafak Mateja(Instruments), Jaroslaw Jezusek(tape)
SURVEY TEAM:

DECLINATION:     1.76  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

z23          b11             30.68   141.00   -66.00     0.00     0.00     0.00     0.00
z22          z23             16.86    62.00   -33.00     0.00     0.00     0.00     0.00
z21          z22              9.42   127.00    -8.00     0.00     0.00     0.00     0.00
z20          z21             12.34   117.00    47.00     0.00     0.00     0.00     0.00
z19          z20             24.11   152.00   -27.00     0.00     0.00     0.00     0.00
z19          z19'            10.40   142.00   -38.00     0.00     0.00     0.00     0.00
z19'         z19"            37.17   252.00    43.00     0.00     0.00     0.00     0.00
z18          z19             17.95   164.00   -20.00     0.00     0.00     0.00     0.00
z17          z18             19.13   162.00   -19.00     0.00     0.00     0.00     0.00
z16          z17             14.17   216.00    14.00     0.00     0.00     0.00     0.00
z15          z16             14.60   215.00   -27.00     0.00     0.00     0.00     0.00
z11          z15             15.16   177.00    -7.00     0.00     0.00     0.00     0.00
z11          z12             17.81     8.00    17.00     0.00     0.00     0.00     0.00
z12          z13             10.56   341.00   -22.00     0.00     0.00     0.00     0.00
z13          z14             11.58     4.00   -18.00     0.00     0.00     0.00     0.00
z10          z11              6.20   294.00   -42.00     0.00     0.00     0.00     0.00
z9           z10             16.17   348.00   -14.00     0.00     0.00     0.00     0.00
z8           z9               3.74    20.00    -1.00     0.00     0.00     0.00     0.00
z7           z8              15.55    61.00   -46.00     0.00     0.00     0.00     0.00
z6           z7               3.77   131.00     2.00     0.00     0.00     0.00     0.00
z5           z6              15.62    62.00   -38.00     0.00     0.00     0.00     0.00
z4           z5               2.59    93.00     7.00     0.00     0.00     0.00     0.00
z3           z4               3.67    44.00   -22.00     0.00     0.00     0.00     0.00
