[480] Comeback-hohle A3-36
SURVEY NAME: COMEBACK-HOHLE
SURVEY DATE: 8 1 2010  COMMENT:   #FIX   cbh33   E13:02.402  N47:32.177                     ;dm TODO brak wysokosci
SURVEY TEAM:

DECLINATION:     2.51  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

cbh2         cbh1             4.99    86.00   -46.80     0.00     0.00     0.00     0.00
cbh3         cbh2            13.62    99.00   -38.70     0.00     0.00     0.00     0.00
cbh4         cbh3             7.48   356.00    -8.10     0.00     0.00     0.00     0.00
cbh5         cbh4             5.64   259.00   -78.30     0.00     0.00     0.00     0.00
cbh6         cbh5            11.71   338.00   -52.20     0.00     0.00     0.00     0.00
cbh7         cbh6             4.66   258.00   -11.70     0.00     0.00     0.00     0.00
cbh8         cbh7            18.11   167.00   -63.90     0.00     0.00     0.00     0.00
cbh9         cbh8             5.48   128.00    11.70     0.00     0.00     0.00     0.00
cbh10        cbh9            24.15   152.00   -81.90     0.00     0.00     0.00     0.00
cbh11        cbh10            8.43   177.00   -35.10     0.00     0.00     0.00     0.00
cbh12        cbh10           15.42   244.00   -21.60     0.00     0.00     0.00     0.00
cbh12        cbh13           18.44   263.00    43.20     0.00     0.00     0.00     0.00
cbh12        cbh14            9.97   358.00     8.10     0.00     0.00     0.00     0.00
cbh12        cbh15            9.55   186.00   -60.30     0.00     0.00     0.00     0.00
cbh11        cbh16           10.27   272.00     3.60     0.00     0.00     0.00     0.00
cbh16        cbh17            5.41   346.00    42.30     0.00     0.00     0.00     0.00
cbh17        cbh18           20.77     3.08    56.70     0.00     0.00     0.00     0.00
cbh16        cbh20           30.31   255.00    29.70     0.00     0.00     0.00     0.00
cbh16        cbh19           22.54   221.00    57.60     0.00     0.00     0.00     0.00
cbh20        cbh21           15.22   313.00    34.20     0.00     0.00     0.00     0.00
cbh21        cbh22            8.83   262.00    23.40     0.00     0.00     0.00     0.00
cbh22        cbh23           10.43   276.00    36.90     0.00     0.00     0.00     0.00
cbh22        cbh24           13.02     5.00    -6.30     0.00     0.00     0.00     0.00
cbh24        cbh25           26.31   268.00    27.00     0.00     0.00     0.00     0.00
cbh24        cbh26           22.80   326.00     7.20     0.00     0.00     0.00     0.00
cbh26        cbh27           16.47   288.00    23.40     0.00     0.00     0.00     0.00
cbh27        cbh28           29.89     3.00    -6.30     0.00     0.00     0.00     0.00
cbh28        cbh29           13.45     4.00   -10.80     0.00     0.00     0.00     0.00
cbh29        cbh30           12.01     0.00   -23.40     0.00     0.00     0.00     0.00
cbh31        cbh32           31.82   308.00    49.50     0.00     0.00     0.00     0.00
cbh32        cbh33           13.25   338.00    17.10     0.00     0.00     0.00     0.00
cbh27        cbh31            2.36   322.00   -64.80     0.00     0.00     0.00     0.00
cbh31        cbh34            9.28   225.00    -2.70     0.00     0.00     0.00     0.00
cbh34        cbh35           18.08   194.00    19.80     0.00     0.00     0.00     0.00
cbh35        cbh36           41.44   214.00    27.90     0.00     0.00     0.00     0.00
cbh36        cbh37           15.03   242.00    22.50     0.00     0.00     0.00     0.00
cbh37        cbh38           15.58   324.00     0.90     0.00     0.00     0.00     0.00
cbh38        cbh39            5.12    26.00    34.20     0.00     0.00     0.00     0.00
cbh37        cbh40           15.94   322.00    66.60     0.00     0.00     0.00     0.00


