[481] Szparka Spaltchen
SURVEY NAME: CIAG DO WANTOWISKA
SURVEY DATE: 8 23 2009  COMMENT:   
SURVEY TEAM:

DECLINATION:     2.39  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

A43          W01             20.21   230.00   -13.00     0.00     0.00     0.00     0.00
W01          W02             20.83   238.00    40.00     0.00     0.00     0.00     0.00
W02          W03             17.59   248.00    56.00     0.00     0.00     0.00     0.00
W03          W04              4.33   263.00    22.00     0.00     0.00     0.00     0.00
W04          W05             13.88   190.00    16.00     0.00     0.00     0.00     0.00
W05          W06             10.30   231.00    10.00     0.00     0.00     0.00     0.00
W06          W07              9.42   212.00   -24.00     0.00     0.00     0.00     0.00
W07          W08             15.81   206.00   -10.00     0.00     0.00     0.00     0.00
W08          W09             13.55   178.00    44.00     0.00     0.00     0.00     0.00
W09          W10              9.74   190.00    45.00     0.00     0.00     0.00     0.00
W10          W11             10.14   200.00   -10.00     0.00     0.00     0.00     0.00
W09          W091             4.92   250.00   -10.00     0.00     0.00     0.00     0.00
W091         W092             4.72   240.00   -50.00     0.00     0.00     0.00     0.00
W092         W093             4.04   320.00     0.00     0.00     0.00     0.00     0.00
W093         W094            14.44   290.00   -35.00     0.00     0.00     0.00     0.00

[481] Szparka Spaltchen
SURVEY NAME: CIAG LEWY
SURVEY DATE: 8 23 2009  COMMENT:   
SURVEY TEAM:

DECLINATION:     2.39  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

A02          L01             35.96   225.00   -35.00     0.00     0.00     0.00     0.00
L01          L02             10.89   270.00   -20.00     0.00     0.00     0.00     0.00
L02          L03             15.22   160.00   -20.00     0.00     0.00     0.00     0.00
L03          L04             21.33   230.00    -5.00     0.00     0.00     0.00     0.00
L04          L05             10.47   245.00    -5.00     0.00     0.00     0.00     0.00
L05          L06             11.32   250.00   -20.00     0.00     0.00     0.00     0.00
L06          L07              7.94   180.00   -40.00     0.00     0.00     0.00     0.00
L07          L08             18.57   150.00    60.00     0.00     0.00     0.00     0.00
L08          L09             18.47   225.00   -10.00     0.00     0.00     0.00     0.00
L09          L091            16.08     0.00   -90.00     0.00     0.00     0.00     0.00
L09          L10              4.89   280.00   -65.00     0.00     0.00     0.00     0.00
L10          L11             15.19   280.00   -30.00     0.00     0.00     0.00     0.00

[481] Szparka Spaltchen
SURVEY NAME: CIAG HORYZONTALNY
SURVEY DATE: 8 23 2009  COMMENT:   
SURVEY TEAM:

DECLINATION:     2.39  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

sz26         A01             18.18   292.00   -47.00     0.00     0.00     0.00     0.00
A01          A02             13.12   335.00   -30.00     0.00     0.00     0.00     0.00
A02          A03             12.73    40.00    15.00     0.00     0.00     0.00     0.00
A03          A04              3.94   350.00   -15.00     0.00     0.00     0.00     0.00
A04          A05             10.37   355.00   -40.00     0.00     0.00     0.00     0.00
A04          A041            62.99    81.00   -70.00     0.00     0.00     0.00     0.00
A05          A06             15.98    15.00     6.00     0.00     0.00     0.00     0.00
A06          A07             14.63   310.00   -35.00     0.00     0.00     0.00     0.00  ;zwornik dla malej studzienki
A07          A071             4.92   245.00    -5.00     0.00     0.00     0.00     0.00
A071         A072            19.85   220.00   -58.00     0.00     0.00     0.00     0.00  ;w dol jest kontynuacja
A07          A08             16.34   355.00   -20.00     0.00     0.00     0.00     0.00
A08          A09             19.03   350.00   -25.00     0.00     0.00     0.00     0.00
A09          A10             10.37   115.00     0.00     0.00     0.00     0.00     0.00
A10          A11             17.45    55.00     5.00     0.00     0.00     0.00     0.00
A11          A12             18.08    24.00   -31.00     0.00     0.00     0.00     0.00
A12          A13             36.75     0.00   -90.00     0.00     0.00     0.00     0.00  ;podstawa zjazdu do Sali Kolumnowej, zwornik dla studzienki pod zjazdem
A13          A14              8.43    28.00     8.00     0.00     0.00     0.00     0.00  ;srodek S. Kolumnowej (wanta), zwornik dla studzienek i zapor. progu
A14          A15             35.27   355.00     4.00     0.00     0.00     0.00     0.00
A15          A16             31.73   350.00   -36.00     0.00     0.00     0.00     0.00
A16          A17             14.96    11.00     7.00     0.00     0.00     0.00     0.00
A17          A18             12.60   336.00    35.00     0.00     0.00     0.00     0.00
A18          A19             12.63   335.00    18.00     0.00     0.00     0.00     0.00
A19          A20             16.60   312.00   -16.00     0.00     0.00     0.00     0.00
A20          A21             15.26   356.00    -6.00     0.00     0.00     0.00     0.00  ;zwornik dla dwoch œlepych kominkow
A21          A22             28.35    31.00   -37.00     0.00     0.00     0.00     0.00  ;zwornik dla kaskadek
A22          A23             32.02   100.00    16.00     0.00     0.00     0.00     0.00  ;zwornik dla dwóch polaczonych studzienek i komina
A23          A24             33.04    92.00    -5.00     0.00     0.00     0.00     0.00  ;zwornik dla studzienki (wstecz)
A24          A25             26.54   100.00    29.00     0.00     0.00     0.00     0.00
A25          A26             10.73    92.00    22.00     0.00     0.00     0.00     0.00
A26          A27             12.80   112.00    18.00     0.00     0.00     0.00     0.00
A27          A28             24.18   148.00    28.00     0.00     0.00     0.00     0.00
A28          A29             27.43    59.00     7.00     0.00     0.00     0.00     0.00  ;zwornik dla 3-ech studzienek
A29          A30             20.51   112.00    70.00     0.00     0.00     0.00     0.00
A30          A31             39.80   155.00    33.00     0.00     0.00     0.00     0.00
A31          A32             24.80    78.00    28.00     0.00     0.00     0.00     0.00  ;zwornik dla niezbadanej studzienki
A32          A33             10.86    50.00    21.00     0.00     0.00     0.00     0.00
A33          A34             15.75    95.00    32.00     0.00     0.00     0.00     0.00
A34          A35             13.35    28.00   -24.00     0.00     0.00     0.00     0.00
A34          A341             8.17   156.00   -23.00     0.00     0.00     0.00     0.00
A341         A342            10.53   213.00    64.00     0.00     0.00     0.00     0.00
A35          A36              6.40    46.00     5.00     0.00     0.00     0.00     0.00
A36          A37             13.75    84.00    26.00     0.00     0.00     0.00     0.00
A37          A38             10.50    43.00   -12.00     0.00     0.00     0.00     0.00
A38          A39             14.90   117.00    19.00     0.00     0.00     0.00     0.00
A39          A40             17.91    68.00   -36.00     0.00     0.00     0.00     0.00
A40          A41             20.37    56.00   -71.00     0.00     0.00     0.00     0.00
A41          A42             30.12    92.00   -69.00     0.00     0.00     0.00     0.00
A42          A43              3.28   146.00   -52.00     0.00     0.00     0.00     0.00
A43          A44             15.29   145.00   -20.00     0.00     0.00     0.00     0.00
A44          A45             12.07    40.00   -55.00     0.00     0.00     0.00     0.00
A45          A46              9.94    44.00   -20.00     0.00     0.00     0.00     0.00
A45          A451            15.26   240.00     5.00     0.00     0.00     0.00     0.00

[481] Szparka Spaltchen
SURVEY NAME: CIAG GLOWNY
SURVEY DATE: 8 23 2009  COMMENT:   
SURVEY TEAM:

DECLINATION:     2.39  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

sz0          sz1              6.99   280.00   -35.00     0.00     0.00     0.00     0.00
sz1          sz2              3.12   315.00    -5.00     0.00     0.00     0.00     0.00
sz2          sz3              5.74   288.00   -10.00     0.00     0.00     0.00     0.00
sz3          sz4              1.77   210.00   -45.00     0.00     0.00     0.00     0.00
sz4          sz5              4.27   260.00   -15.00     0.00     0.00     0.00     0.00
sz5          sz6              4.23   230.00     5.00     0.00     0.00     0.00     0.00
sz6          sz7              7.02   290.00   -55.00     0.00     0.00     0.00     0.00
sz7          sz8              6.50   200.00    25.00     0.00     0.00     0.00     0.00
sz8          sz9              8.27   285.00   -35.00     0.00     0.00     0.00     0.00
sz9          sz10             4.07   335.00   -20.00     0.00     0.00     0.00     0.00
sz10         sz11            22.18     0.00   -90.00     0.00     0.00     0.00     0.00
sz11         sz12            12.01   275.00    30.00     0.00     0.00     0.00     0.00
sz12         sz13             9.02   315.00    -5.00     0.00     0.00     0.00     0.00
sz13         sz14            18.54   265.00   -30.00     0.00     0.00     0.00     0.00
sz14         sz15            12.66     0.00   -90.00     0.00     0.00     0.00     0.00
sz15         sz16             5.38   265.00    20.00     0.00     0.00     0.00     0.00
sz16         sz17             7.09   300.00   -15.00     0.00     0.00     0.00     0.00
sz17         sz18             5.05   295.00   -65.00     0.00     0.00     0.00     0.00
sz18         sz19             3.22     5.00    27.00     0.00     0.00     0.00     0.00
sz19         sz20             7.55   290.00   -15.00     0.00     0.00     0.00     0.00
sz20         sz21             5.31   345.00   -15.00     0.00     0.00     0.00     0.00
sz21         sz22             6.86   245.00   -48.00     0.00     0.00     0.00     0.00
sz22         sz23             2.95   295.00     0.00     0.00     0.00     0.00     0.00
sz23         sz24             7.68   225.00   -15.00     0.00     0.00     0.00     0.00
sz24         sz25             9.58   285.00   -25.00     0.00     0.00     0.00     0.00
sz25         sz26            37.37   255.00   -80.00     0.00     0.00     0.00     0.00
sz26         sz27            32.32   240.00   -60.00     0.00     0.00     0.00     0.00
sz27         sz28            27.07   185.00   -85.00     0.00     0.00     0.00     0.00
sz28         sz29             7.91    30.00    50.00     0.00     0.00     0.00     0.00
sz29         sz30            29.92    10.00   -75.00     0.00     0.00     0.00     0.00
sz30         sz31            56.07   360.00   -80.00     0.00     0.00     0.00     0.00
sz31         sz32            52.89   350.00   -70.00     0.00     0.00     0.00     0.00
sz28         sz281           19.69   190.00    50.00     0.00     0.00     0.00     0.00
sz281        sz282           48.92     0.00   -90.00     0.00     0.00     0.00     0.00
sz282        sz283            6.82   160.00   -10.00     0.00     0.00     0.00     0.00
sz283        sz284            8.33   290.00   -50.00     0.00     0.00     0.00     0.00
sz284        sz285           82.81     0.00   -90.00     0.00     0.00     0.00     0.00


