[483] WH2
SURVEY NAME: WH2 [483]
SURVEY DATE: 8 10 2003  COMMENT:   TODO data jest bledna
SURVEY TEAM:

DECLINATION:     1.76  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

wh2_1        wh2_2           20.34    52.00   -49.00     0.00     0.00     0.00     0.00
wh2_2        wh2_3           16.90   153.00   -21.00     0.00     0.00     0.00     0.00
wh2_3        wh2_4           25.33   106.00   -32.00     0.00     0.00     0.00     0.00
wh2_4        wh2_5           37.07   164.00   -36.00     0.00     0.00     0.00     0.00
wh2_5        wh2_6           18.57    74.00   -23.00     0.00     0.00     0.00     0.00
wh2_6        wh2_7           40.22    86.00    27.00     0.00     0.00     0.00     0.00
wh2_3        wh2_8           28.81    41.00   -26.00     0.00     0.00     0.00     0.00
wh2_8        wh2_9           21.98    46.00   -34.00     0.00     0.00     0.00     0.00
wh2_9        wh2_10           2.95     0.00   -90.00     0.00     0.00     0.00     0.00
wh2_10       wh2_11          38.88    94.00    -6.00     0.00     0.00     0.00     0.00
wh2_12       wh2_8           38.06    95.00   -75.00     0.00     0.00     0.00     0.00


