[486] A4-10
SURVEY NAME: A4-10
SURVEY DATE: 5 9 2009  COMMENT:   TODO data jest bledna
SURVEY TEAM:

DECLINATION:     2.36  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

a4010-0      a4010-1         49.67   214.00   -51.00     0.00     0.00     0.00     0.00
a4010-1      a4010-2         59.02   212.00   -53.00     0.00     0.00     0.00     0.00
a4010-2      a4010-3          8.14    26.00   -59.00     0.00     0.00     0.00     0.00
a4010-3      a4010-4         18.86   166.00    24.00     0.00     0.00     0.00     0.00
a4010-4      a4010-5         16.67   107.00   -61.00     0.00     0.00     0.00     0.00
a4010-4      a4010-41        25.52   100.00    36.00     0.00     0.00     0.00     0.00
a4010-3      a4010-31        19.00   327.00   -26.00     0.00     0.00     0.00     0.00
a4010-31     a4010-32        10.27    11.00    26.00     0.00     0.00     0.00     0.00
a4010-32     a4010-33        11.06   350.00   -64.00     0.00     0.00     0.00     0.00


