[487] Krolowej Sniegu Schneekoniginhohle A4-36
SURVEY NAME: KROLOWEJ SNIEGU
SURVEY DATE: 8 23 2004  COMMENT:   Marcin Kaniewski, Szymon Matysiak, Dariusz Bartoszewski
SURVEY TEAM:

DECLINATION:     1.85  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

ks1          ks2             10.56   356.00   -35.00     0.00     0.00     0.00     0.00
ks2          ks3             51.54     0.00   -48.00     0.00     0.00     0.00     0.00
ks3          ks4             30.45   302.00   -86.00     0.00     0.00     0.00     0.00
ks4          ks5             27.43   121.00   -53.00     0.00     0.00     0.00     0.00
ks5          ks6             21.72    15.00   -74.00     0.00     0.00     0.00     0.00
ks6          ks7              9.65   226.00   -64.00     0.00     0.00     0.00     0.00
ks7          ks8              4.00   311.00   -74.00     0.00     0.00     0.00     0.00
ks8          ks9             76.57   290.00   -84.00     0.00     0.00     0.00     0.00
ks9          ks10            17.65   203.00   -42.00     0.00     0.00     0.00     0.00
ks10         ks11            23.52   334.00   -30.00     0.00     0.00     0.00     0.00
ks11         ks12            28.25   346.00    -3.00     0.00     0.00     0.00     0.00
ks12         ks13            12.66   284.00    -2.00     0.00     0.00     0.00     0.00
ks13         ks14             9.51     0.00   -90.00     0.00     0.00     0.00     0.00
ks121        ks12            11.48    75.00     0.00     0.00     0.00     0.00     0.00
ks6          ks61             5.51    46.00     0.00     0.00     0.00     0.00     0.00
ks61         ks62            14.44     0.00   -90.00     0.00     0.00     0.00     0.00
ks62         ks63            12.80     5.00     0.00     0.00     0.00     0.00     0.00


