[488] A4-40
SURVEY NAME: A4-40
SURVEY DATE: 8 21 2004  COMMENT:  ;dm
SURVEY TEAM:

DECLINATION:     1.85  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

a440-0       a440-1          11.35    95.00   -54.00     0.00     0.00     0.00     0.00
a440-1       a440-2          13.02   291.00   -56.00     0.00     0.00     0.00     0.00
a440-2       a440-3           8.66   194.00   -33.00     0.00     0.00     0.00     0.00
a440-3       a440-31          7.87   197.00   -36.00     0.00     0.00     0.00     0.00
a440-3       a440-4          15.42   171.00    14.00     0.00     0.00     0.00     0.00
a440-4       a440-5          16.70   188.00    13.00     0.00     0.00     0.00     0.00
a440-5       a440-6           4.36   335.00    46.00     0.00     0.00     0.00     0.00
a440-6       a440-7           9.28   226.00   -47.00     0.00     0.00     0.00     0.00
a440-7       a440-8          16.70   179.00     2.00     0.00     0.00     0.00     0.00


