[495] Ciekawa Interessante Höhle
SURVEY NAME: 2018-08-12 - URODZINY 2
SURVEY DATE: 8 12 2018  COMMENT:   Jakub Pysz (Palm), Adam Wladzinski, Filip Filar
SURVEY TEAM:

DECLINATION:     3.55  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

M:1          N:14             0.00     0.00     0.00     0.00     0.00     0.00     0.00
M:1          M:2             26.15   107.39    42.56     0.00     0.00     0.00     0.00
M:2          M:3             20.80    78.28    28.58     0.00     0.00     0.00     0.00
M:3          M:4             13.81    61.14   -15.72     0.00     0.00     0.00     0.00
M:4          M:5             10.33    37.73    -2.68     0.00     0.00     0.00     0.00
M:5          M:6             21.78   140.80   -64.72     0.00     0.00     0.00     0.00
M:6          M:7             35.96     4.56   -84.07     0.00     0.00     0.00     0.00
M:7          M:8             37.14    59.42   -58.73     0.00     0.00     0.00     0.00
M:8          M:9             16.24   108.68   -38.22     0.00     0.00     0.00     0.00
M:9          M:10             9.78   125.77    23.68     0.00     0.00     0.00     0.00
M:10         M:11             9.58    57.09    -5.28     0.00     0.00     0.00     0.00
M:11         M:12            21.46   319.47   -35.12     0.00     0.00     0.00     0.00
M:12         M:13             9.55    28.04   -44.27     0.00     0.00     0.00     0.00
M:13         M:15            26.48     6.05   -55.36     0.00     0.00     0.00     0.00
M:15         M:16            27.13    79.88   -42.75     0.00     0.00     0.00     0.00
M:16         M:17             9.02    88.54   -29.08     0.00     0.00     0.00     0.00
M:17         M:18            10.56    27.96   -11.57     0.00     0.00     0.00     0.00
M:18         M:19            10.30    29.64   -27.23     0.00     0.00     0.00     0.00
M:19         M:19.1          39.76     6.46   -56.26     0.00     0.00     0.00     0.00  ;domiar

[495] Ciekawa Interessante Höhle
SURVEY NAME: 2018-08-07 - URODZINY
SURVEY DATE: 8 7 2018  COMMENT:   Jakub Pysz (Palm), Adam Wladzinski, Filip Filar
SURVEY TEAM:

DECLINATION:     3.55  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

O:1.6        N:1              0.00     0.00     0.00     0.00     0.00     0.00     0.00
N:1          N:2             16.14   359.58   -31.69     0.00     0.00     0.00     0.00  ;1
N:2          N:3             42.98   336.34   -79.44     0.00     0.00     0.00     0.00
N:3          N:4             26.74    89.76   -58.88     0.00     0.00     0.00     0.00
N:5          N:4             20.90   300.92    50.33     0.00     0.00     0.00     0.00
N:5          N:6              9.12    85.56    17.66     0.00     0.00     0.00     0.00
N:6          N:7             56.50    54.80   -78.74     0.00     0.00     0.00     0.00
N:8          N:7             22.64   259.09    53.13     0.00     0.00     0.00     0.00
N:8          N:9             20.37   134.95    -3.73     0.00     0.00     0.00     0.00
N:9          N:10            18.37    70.34     2.68     0.00     0.00     0.00     0.00
N:10         N:11            37.63   135.79   -57.91     0.00     0.00     0.00     0.00
N:11         N:12            10.24   223.49   -63.99     0.00     0.00     0.00     0.00
N:12         N:14            99.34   123.05   -84.49     0.00     0.00     0.00     0.00
N:14         N:15            21.46   113.57   -12.46     0.00     0.00     0.00     0.00
N:15         N:16             8.14    14.43    -3.67     0.00     0.00     0.00     0.00
