[498] Meander Pod Kosowka Maander unter dem Laschen
SURVEY NAME: PODKOSOWKA
SURVEY DATE: 8 12 2009  COMMENT:   Tomek Olczak, Darek Bartoszewski
SURVEY TEAM:

DECLINATION:     2.39  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

podk         podk1            5.71   118.26    -8.67     0.00     0.00     0.00     0.00
podk1        podk2            5.41    18.15   -33.84     0.00     0.00     0.00     0.00
podk2        podk3            9.84   147.11   -10.30     0.00     0.00     0.00     0.00
podk3        podk4           28.90    63.64   -47.47     0.00     0.00     0.00     0.00
podk5        podk6           32.25   139.33   -55.09     0.00     0.00     0.00     0.00
podk6        podk7           11.02   148.26    -9.62     0.00     0.00     0.00     0.00
podk7        podk8            4.13   185.48   -57.80     0.00     0.00     0.00     0.00
podk4        podk5           19.52   121.95   -41.28     0.00     0.00     0.00     0.00
podk10       podk8            7.38   348.20    71.30     0.00     0.00     0.00     0.00
podk11       podk10           4.82   322.40     8.80     0.00     0.00     0.00     0.00
podk12       podk11          21.06     2.20    77.00     0.00     0.00     0.00     0.00
podk13       podk12          10.27   310.90    -3.50     0.00     0.00     0.00     0.00
podk14       podk13          54.92   248.70    75.90     0.00     0.00     0.00     0.00
podk15       podk14          10.50   135.20    28.60     0.00     0.00     0.00     0.00
podk16       podk15          22.38   206.40    39.80     0.00     0.00     0.00     0.00
podk13       podk13.1        14.34   142.20     5.70     0.00     0.00     0.00     0.00
podk13.1     podk13.2        23.03   165.90    41.50     0.00     0.00     0.00     0.00
podk13.2     pk13.2.1        15.39   174.50    32.60     0.00     0.00     0.00     0.00
podk13.2     podk13.3        17.95   220.00    81.30     0.00     0.00     0.00     0.00
podk13.3     pk13.3.1        27.43   323.50    66.40     0.00     0.00     0.00     0.00
podk13.3     podk13.4        11.88   228.40   -42.80     0.00     0.00     0.00     0.00
podk16       podk17          56.43   281.30   -83.00     0.00     0.00     0.00     0.00
podk17       podk18           3.25   351.90   -25.40     0.00     0.00     0.00     0.00
podk18       podk19          26.97   151.40   -70.20     0.00     0.00     0.00     0.00
podk19       podk20          22.67    65.60   -72.70     0.00     0.00     0.00     0.00
podk20       podk21          14.04   177.30   -61.70     0.00     0.00     0.00     0.00
podk21       podk22           7.09   129.80   -38.70     0.00     0.00     0.00     0.00
podk22       podk23           2.10   213.20    -0.80     0.00     0.00     0.00     0.00
podk20       podk24           3.48   306.80    24.00     0.00     0.00     0.00     0.00
podk24       podk25          15.22    79.80   -14.50     0.00     0.00     0.00     0.00
podk25       podk26           2.66    19.60    14.20     0.00     0.00     0.00     0.00
podk26       podk27          27.89    53.00   -76.90     0.00     0.00     0.00     0.00
podk27       podk28          10.89   166.40   -18.50     0.00     0.00     0.00     0.00
podk28       pk2_1            7.05   219.90    -8.33     0.00     0.00     0.00     0.00
pk2_1        pk2_2            7.25   187.70   -24.38     0.00     0.00     0.00     0.00
pk2_2        pk2_3            8.89   197.02   -35.94     0.00     0.00     0.00     0.00
pk2_3        pk2_4            4.86   202.30   -20.51     0.00     0.00     0.00     0.00
pk2_4        pk2_5            4.20   295.49    32.68     0.00     0.00     0.00     0.00
pk2_5        pk2_6            8.46   195.80    55.57     0.00     0.00     0.00     0.00
pk2_6        pk2_7            9.45   283.87    45.26     0.00     0.00     0.00     0.00
pk2_7        pk2_8            9.02   356.04    59.16     0.00     0.00     0.00     0.00
pk2_4        pk2_9           17.75   134.98   -73.86     0.00     0.00     0.00     0.00
pk2_9        pk2_10           9.45   177.16     1.38     0.00     0.00     0.00     0.00
pk2_10       pk2_11          18.73   183.78   -28.58     0.00     0.00     0.00     0.00
pk2_10       pk2_12          12.70    23.76     5.74     0.00     0.00     0.00     0.00


