[500] B3-6
SURVEY NAME: B3.6
SURVEY DATE: 8 9 2015  COMMENT:    TEAM lubomski paternoga
SURVEY TEAM:

DECLINATION:     3.16  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

BC:B3-6      BC:0             0.00     0.00     0.00     0.00     0.00     0.00     0.00
BC:0         BC:1            12.53    12.00   -35.10     0.00     0.00     0.00     0.00
BC:1         BC:2             3.41    45.90   -48.40     0.00     0.00     0.00     0.00
BC:2         BC:3            11.98    52.00   -67.00     0.00     0.00     0.00     0.00
BC:3         BC:4            12.57   147.90   -20.60     0.00     0.00     0.00     0.00
BC:4         BC:5             5.77   215.10   -34.80     0.00     0.00     0.00     0.00
BC:5         BC:6            28.28   268.20   -85.30     0.00     0.00     0.00     0.00
BC:6         BC:7             3.35    42.70    -2.70     0.00     0.00     0.00     0.00  ;5
BC:7         BC:8            53.31   195.00   -84.90     0.00     0.00     0.00     0.00
BC:8         BC:9            43.04   222.20   -87.30     0.00     0.00     0.00     0.00
BC:9         BC:10            1.80    17.20    82.80     0.00     0.00     0.00     0.00
BC:10        BC:11           18.04   164.10   -52.20     0.00     0.00     0.00     0.00
BC:11        BC:12           18.96   250.30   -85.00     0.00     0.00     0.00     0.00
BC:10        BC:13           13.02   184.90   -25.10     0.00     0.00     0.00     0.00
BC:13        BC:14            4.43   185.30   -37.20     0.00     0.00     0.00     0.00  ; 14 zwornik brak liny do dowiazania
BC:14        BC:15           12.34   327.50   -78.90     0.00     0.00     0.00     0.00  ; 14 zwornik brak liny do dowiazania
BC:15        BC:16           20.67   336.20   -71.30     0.00     0.00     0.00     0.00
BC:15        BC:17            9.65   319.30    -2.30     0.00     0.00     0.00     0.00
BC:16        BC:18            9.51   167.50   -18.70     0.00     0.00     0.00     0.00
BC:18        BC:19           17.98   173.60   -68.20     0.00     0.00     0.00     0.00  ; tu dowiazac nazi pom
BC:19        BC:19a           9.02   135.92   -40.44     0.00     0.00     0.00     0.00  ;#DATE 2014-07-26
BC:19a       BC:19b           6.82   203.57   -16.26     0.00     0.00     0.00     0.00
BC:19b       BC:19b.1         4.53   165.78    -2.20     0.00     0.00     0.00     0.00  ;domiar
BC:17        BC:20b          40.35   304.40    67.30     0.00     0.00     0.00     0.00  ; domiar do komina
BC:17        BC:21           10.20   281.50   -50.40     0.00     0.00     0.00     0.00
BC:21        BC:22            8.43    97.40   -81.30     0.00     0.00     0.00     0.00
BC:22        BC:23           17.22   288.90   -82.60     0.00     0.00     0.00     0.00
