[501] Kitzgrabenwasserschacht
SURVEY NAME: 2013-08-08 - DO DRUGIEGO SYFONU
SURVEY DATE: 8 8 2013  COMMENT:   Tomasz Olczak, Marcin Slowik, Karol Makowski
SURVEY TEAM:

DECLINATION:     2.90  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

BD:1.14      BE:1.1           6.59   274.40     3.59     0.00     0.00     0.00     0.00
BE:1.1       BE:1.2          10.04   314.08   -10.07     0.00     0.00     0.00     0.00
BE:1.2       BE:1.3           2.49   241.86     9.78     0.00     0.00     0.00     0.00
BE:1.3       BE:1.4          12.04   325.77     0.77     0.00     0.00     0.00     0.00
BE:1.4       BE:1.5          11.65   272.94     1.39     0.00     0.00     0.00     0.00
BE:1.5       BE:1.6          14.24   153.75    10.27     0.00     0.00     0.00     0.00
BE:1.6       BE:1.7           5.31   265.97    -6.11     0.00     0.00     0.00     0.00
BE:1.7       BE:1.8          17.72   217.59    -6.87     0.00     0.00     0.00     0.00
BE:1.8       BE:1.9           5.74    63.27   -16.47     0.00     0.00     0.00     0.00
BE:1.9       BE:1.10          3.64   177.12   -24.46     0.00     0.00     0.00     0.00
BE:1.10      BE:1.11          5.61    97.44    -9.48     0.00     0.00     0.00     0.00
BE:1.11      BE:1.12          3.48    74.95   -22.67     0.00     0.00     0.00     0.00
BE:1.12      BE:1.13         10.30   101.58   -12.92     0.00     0.00     0.00     0.00
BE:1.13      BE:1.14         13.71   179.22   -52.08     0.00     0.00     0.00     0.00
BE:1.14      BE:1.15          5.77   248.63   -17.02     0.00     0.00     0.00     0.00
BE:1.15      BE:1.16          8.10   233.73   -30.31     0.00     0.00     0.00     0.00
BE:1.16      BE:1.17          8.20   127.03     0.11     0.00     0.00     0.00     0.00
BE:1.17      BE:1.18         10.89    95.13    10.66     0.00     0.00     0.00     0.00
BE:1.18      BE:1.19          8.56   352.88   -48.17     0.00     0.00     0.00     0.00
BE:1.19      BE:1.20         14.47   131.50    -2.86     0.00     0.00     0.00     0.00
BE:1.20      BE:1.21         11.06   210.28     7.32     0.00     0.00     0.00     0.00
BE:1.21      BE:1.22         13.78    94.99   -22.92     0.00     0.00     0.00     0.00
BE:1.22      BE:1.23         27.10    54.73   -84.33     0.00     0.00     0.00     0.00
BE:1.23      BE:1.24         19.42   213.30   -20.63     0.00     0.00     0.00     0.00
BE:1.24      BE:1.25         13.39   194.48     0.62     0.00     0.00     0.00     0.00
BE:1.25      BE:1.26         19.42    96.32     9.04     0.00     0.00     0.00     0.00
BE:1.26      BE:1.27         12.63   164.94    17.47     0.00     0.00     0.00     0.00
BE:1.27      BE:1.28          7.51   241.39   -59.47     0.00     0.00     0.00     0.00
BE:1.28      BE:1.29          4.04   175.57    -0.23     0.00     0.00     0.00     0.00
BE:1.29      BE:1.30          3.15   240.17   -18.35     0.00     0.00     0.00     0.00
BE:1.30      BE:1.31          7.22   226.72     4.36     0.00     0.00     0.00     0.00
BE:1.31      BE:1.32          1.44   176.34   -15.97     0.00     0.00     0.00     0.00
BE:1.32      BE:1.33         24.51   194.54   -69.49     0.00     0.00     0.00     0.00
BE:1.33      BE:1.34         25.33    30.89   -52.68     0.00     0.00     0.00     0.00

[501] Kitzgrabenwasserschacht
SURVEY NAME: 2012-08-13 - DO SYFONU
SURVEY DATE: 8 13 2012  COMMENT:   Disto-X + Palm
SURVEY TEAM:

DECLINATION:     2.77  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

