[502] Jaskinia Cienia Schattenhöhle
SURVEY NAME: 2012-08-16 - SHADOW
SURVEY DATE: 8 15 2012  COMMENT:   Disto-X + zeszyt
SURVEY TEAM:

DECLINATION:     2.77  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

BH:sh        BH:1            17.13    97.97   -33.00     0.00     0.00     0.00     0.00
BH:1         BH:2            17.98    39.31   -34.77     0.00     0.00     0.00     0.00
BH:2         BH:3             2.72   132.59    -1.38     0.00     0.00     0.00     0.00
BH:3         BH:4             6.56    69.85   -66.22     0.00     0.00     0.00     0.00
BH:4         BH:5            19.42    55.90   -11.62     0.00     0.00     0.00     0.00
BH:5         BH:6             7.22   353.14   -30.95     0.00     0.00     0.00     0.00
BH:6         BH:7             7.97    85.31   -37.99     0.00     0.00     0.00     0.00
BH:7         BH:8             8.89    43.72   -25.01     0.00     0.00     0.00     0.00
BH:8         BH:9             3.44    87.71   -49.87     0.00     0.00     0.00     0.00
BH:9         BH:9.1          11.15    21.29     2.11     0.00     0.00     0.00     0.00
BH:9         BH:10           11.45    31.94   -50.78     0.00     0.00     0.00     0.00
BH:10        BH:11            7.45   143.86   -29.44     0.00     0.00     0.00     0.00
BH:11        BH:12           10.50   212.94   -25.07     0.00     0.00     0.00     0.00
BH:12        BH:12.1          7.55   261.83    12.63     0.00     0.00     0.00     0.00
BH:12        BH:13           11.94   343.56   -65.82     0.00     0.00     0.00     0.00
BH:13        BH:14           10.10   255.36    14.62     0.00     0.00     0.00     0.00
BH:11        BH:15            5.28    88.99   -23.51     0.00     0.00     0.00     0.00
BH:15        BH:16            8.20   144.48    17.27     0.00     0.00     0.00     0.00
BH:16        BH:17            6.43   111.33    19.61     0.00     0.00     0.00     0.00
BH:17        BH:18           14.44    42.20    17.72     0.00     0.00     0.00     0.00
BH:11        BH:19           10.01    40.17     0.65     0.00     0.00     0.00     0.00
BH:19        BH:20           31.36   123.85   -60.10     0.00     0.00     0.00     0.00
BH:20        BH:21            4.07   205.26   -46.31     0.00     0.00     0.00     0.00
BH:21        BH:22           12.11   138.00   -53.95     0.00     0.00     0.00     0.00
BH:22        BH:23           11.88   107.03   -59.54     0.00     0.00     0.00     0.00
BH:23        BH:24           16.80    82.14   -70.72     0.00     0.00     0.00     0.00
BH:24        BH:25            9.48   182.64   -22.64     0.00     0.00     0.00     0.00
BH:25        BH:26           42.26   142.62   -68.33     0.00     0.00     0.00     0.00
BH:26        BH:27           17.91    92.11   -34.88     0.00     0.00     0.00     0.00
BH:27        BH:28           26.71   133.76   -56.40     0.00     0.00     0.00     0.00  ;domiar


