[504] 37
SURVEY NAME: 20180812
SURVEY DATE: 8 12 2018  COMMENT:   Tomek, Jarek
SURVEY TEAM:

DECLINATION:     3.55  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

BJ:1.0       BK:1.13          0.00     0.00     0.00     0.00     0.00     0.00     0.00
BJ:1.0       BJ:1.1           8.89    39.95   -12.67     0.00     0.00     0.00     0.00
BJ:1.1       BJ:1.2           4.17   334.31    14.04     0.00     0.00     0.00     0.00
BJ:1.2       BJ:1.3           6.99    44.15    -2.23     0.00     0.00     0.00     0.00
BJ:1.3       BJ:1.4           8.86    65.71   -14.93     0.00     0.00     0.00     0.00
BJ:1.4       BJ:1.5           9.51    11.39     2.76     0.00     0.00     0.00     0.00
BJ:1.5       BJ:1.6           4.86   341.84    22.05     0.00     0.00     0.00     0.00
BJ:1.6       BJ:1.7           3.38    54.38   -21.50     0.00     0.00     0.00     0.00
BJ:1.7       BJ:1.8           3.12   339.58   -32.18     0.00     0.00     0.00     0.00
BJ:1.8       BJ:1.9           3.25    46.12     7.93     0.00     0.00     0.00     0.00
BJ:1.9       BJ:1.10          3.38   350.38   -69.55     0.00     0.00     0.00     0.00
BJ:1.10      BJ:1.11          6.46    34.04   -38.79     0.00     0.00     0.00     0.00

[504] 37
SURVEY NAME: 180806 - OBEJSCIE
SURVEY DATE: 8 6 2018  COMMENT:   Arkadiusz Kus(Palm), Rdoslaw Paternoga
SURVEY TEAM:

DECLINATION:     3.55  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

BL:1.0       BK:4.1           0.00     0.00     0.00     0.00     0.00     0.00     0.00
BL:1.7       BM:1.0           0.00     0.00     0.00     0.00     0.00     0.00     0.00
BL:1.8       BM:1.1           0.00     0.00     0.00     0.00     0.00     0.00     0.00
BL:1.0       BL:1.1          18.04   253.82    72.77     0.00     0.00     0.00     0.00
BL:1.1       BL:1.2          18.01   283.79    76.25     0.00     0.00     0.00     0.00
BL:1.2       BL:1.3           5.54    81.88    27.23     0.00     0.00     0.00     0.00
BL:1.3       BL:1.4           8.30    78.86    33.93     0.00     0.00     0.00     0.00
BL:1.4       BL:1.5          21.88   302.00    61.17     0.00     0.00     0.00     0.00
BL:1.5       BL:1.6          16.50   177.56    31.82     0.00     0.00     0.00     0.00
BL:1.6       BL:1.7           5.51   263.59   -44.89     0.00     0.00     0.00     0.00
BL:1.7       BL:1.8           7.12   271.15    28.96     0.00     0.00     0.00     0.00

[504] 37
SURVEY NAME: 180806 NA 180
SURVEY DATE: 8 6 2018  COMMENT:   Arkadiusz Kus(Palm), Rdoslaw Paternoga
SURVEY TEAM:

DECLINATION:     3.55  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

BN:1.0       BO:18            0.00     0.00     0.00     0.00     0.00     0.00     0.00
BN:1.1       BO:19            0.00     0.00     0.00     0.00     0.00     0.00     0.00
BN:1.0       BN:1.1          22.64   263.19   -65.75     0.00     0.00     0.00     0.00
BN:1.1       BN:1.2          12.86   304.60   -30.40     0.00     0.00     0.00     0.00
BN:1.2       BN:1.3           8.27   249.42   -25.67     0.00     0.00     0.00     0.00
BN:1.3       BN:1.4          15.03   104.70   -77.82     0.00     0.00     0.00     0.00
BN:1.4       BN:1.5           6.63   197.12     9.41     0.00     0.00     0.00     0.00

[504] 37
SURVEY NAME: 180806 CIAG G≥ÛWNY
SURVEY DATE: 8 6 2018  COMMENT:   Arkadiusz Kus(Palm), Rdoslaw Paternoga
SURVEY TEAM:

DECLINATION:     3.55  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

BK:1.0       BM:1.4           0.00     0.00     0.00     0.00     0.00     0.00     0.00
BK:1.0       BK:1.1          11.91   110.66   -41.39     0.00     0.00     0.00     0.00
BK:1.1       BK:1.2          20.34   141.66   -78.55     0.00     0.00     0.00     0.00
