[506] AK-1
SURVEY NAME: 160806
SURVEY DATE: 8 6 2016  COMMENT:   Arkadiusz Kus, Slawomir Heteniak
SURVEY TEAM:

DECLINATION:     3.29  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

BT:ak1       BT:1.0           0.00     0.00     0.00     0.00     0.00     0.00     0.00
BT:1.0       BT:1.1          16.08   291.82   -59.60     0.00     0.00     0.00     0.00
BT:1.1       BT:1.2          27.53   169.64   -82.35     0.00     0.00     0.00     0.00
BT:1.2       BT:1.3          16.27   321.14   -79.16     0.00     0.00     0.00     0.00
BT:1.3       BT:1.4          44.00   285.00   -86.35     0.00     0.00     0.00     0.00
BT:1.4       BT:1.5          19.16   309.46   -74.87     0.00     0.00     0.00     0.00
BT:1.5       BT:1.6          26.15    86.31   -80.35     0.00     0.00     0.00     0.00
BT:1.6       BT:1.7          20.93   157.02   -57.78     0.00     0.00     0.00     0.00
BT:1.7       BT:1.8          23.00   314.04   -24.43     0.00     0.00     0.00     0.00
BT:1.8       BT:1.9          15.45   246.70    59.79     0.00     0.00     0.00     0.00
BT:1.9       BT:1.10         36.94   266.59    36.53     0.00     0.00     0.00     0.00
BT:1.10      BT:1.11         32.32   345.41    27.43     0.00     0.00     0.00     0.00


