[507] X-Schacht
SURVEY NAME: STUDNIA-X_2
SURVEY DATE: 8 6 2016  COMMENT:   Arek Kus, Slawomir Heteniak
SURVEY TEAM:

DECLINATION:     3.29  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

BU:1.0       BU:1.1           6.82   191.26   -16.17     0.00     0.00     0.00     0.00
BU:1.1       BU:1.2           4.13   222.01   -31.82     0.00     0.00     0.00     0.00
BU:1.2       BU:1.3          18.64   290.09   -63.48     0.00     0.00     0.00     0.00
BU:1.3       BU:1.4           4.30   284.99   -63.52     0.00     0.00     0.00     0.00
BU:1.4       BU:1.5          10.04   350.41   -77.89     0.00     0.00     0.00     0.00
BU:1.5       BU:1.6           4.95    57.07   -70.64     0.00     0.00     0.00     0.00
BU:1.6       BU:1.7          27.13   265.85   -56.42     0.00     0.00     0.00     0.00
BU:1.7       BU:1.8          17.26   193.56    39.47     0.00     0.00     0.00     0.00
BU:1.8       BU:1.9          13.58   202.44   -21.68     0.00     0.00     0.00     0.00
BU:1.9       BU:1.10         23.26   148.80   -41.30     0.00     0.00     0.00     0.00
BU:1.10      BU:1.11         15.91    66.67   -13.85     0.00     0.00     0.00     0.00
BU:1.7       BU:1.7.1        22.41     4.25   -55.42     0.00     0.00     0.00     0.00  ;domiar
BU:1.8       BU:1.8.1        36.88   187.56    81.13     0.00     0.00     0.00     0.00  ;domiar

[507] X-Schacht
SURVEY NAME: STUDNIA-X
SURVEY DATE: 8 6 2016  COMMENT:   Michal Parczewski, Aleksandra Puchalska
SURVEY TEAM:

DECLINATION:     3.29  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

BV:stx       BV:1.0           0.00     0.00     0.00     0.00     0.00     0.00     0.00
BV:1.63      BV:1.33          0.00     0.00     0.00     0.00     0.00     0.00     0.00
BV:1.26      BU:1.0           0.00     0.00     0.00     0.00     0.00     0.00     0.00
BV:1.27      BU:1.1           0.00     0.00     0.00     0.00     0.00     0.00     0.00
BV:1.28      BU:1.2           0.00     0.00     0.00     0.00     0.00     0.00     0.00
BV:1.29      BU:1.3           0.00     0.00     0.00     0.00     0.00     0.00     0.00
BV:1.30      BU:1.4           0.00     0.00     0.00     0.00     0.00     0.00     0.00
BV:1.0       BV:1.1          13.62   348.09   -40.65     0.00     0.00     0.00     0.00
BV:1.1       BV:1.2          68.04   187.20   -87.48     0.00     0.00     0.00     0.00
BV:1.2       BV:1.3          22.31   146.15   -39.80     0.00     0.00     0.00     0.00
BV:1.3       BV:1.4          13.32   109.65     5.36     0.00     0.00     0.00     0.00
BV:1.3       BV:1.5          33.86   238.94    16.05     0.00     0.00     0.00     0.00
BV:1.5       BV:1.6          26.15   327.07    24.45     0.00     0.00     0.00     0.00
BV:1.5       BV:1.7           6.89   269.34    -0.46     0.00     0.00     0.00     0.00
BV:1.7       BV:1.8           5.68   223.12     2.75     0.00     0.00     0.00     0.00
BV:1.8       BV:1.9           6.66   209.38    23.44     0.00     0.00     0.00     0.00
BV:1.2       BV:1.10          8.46    58.01   -53.12     0.00     0.00     0.00     0.00
BV:1.10      BV:1.11         19.62    69.89   -50.95     0.00     0.00     0.00     0.00
BV:1.11      BV:1.12         30.54    92.88   -35.93     0.00     0.00     0.00     0.00
BV:1.12      BV:1.13         22.41   110.74     8.04     0.00     0.00     0.00     0.00
BV:1.13      BV:1.14          7.84   236.21    67.63     0.00     0.00     0.00     0.00
BV:1.14      BV:1.15         20.73    20.15    73.99     0.00     0.00     0.00     0.00
BV:1.15      BV:1.16          8.01    56.41    22.49     0.00     0.00     0.00     0.00
BV:1.16      BV:1.17         11.58   116.41    -2.55     0.00     0.00     0.00     0.00
BV:1.17      BV:1.18         24.21   109.60   -64.96     0.00     0.00     0.00     0.00
BV:1.18      BV:1.19         29.33   128.63   -47.05     0.00     0.00     0.00     0.00
BV:1.19      BV:1.20         15.35   102.59   -25.75     0.00     0.00     0.00     0.00
BV:1.19      BV:1.21         33.76    38.60    -7.12     0.00     0.00     0.00     0.00
BV:1.19      BV:1.22         25.59   288.72   -18.89     0.00     0.00     0.00     0.00
BV:1.20      BV:1.23         11.52   137.30   -45.36     0.00     0.00     0.00     0.00
BV:1.23      BV:1.24         12.60   135.05   -37.55     0.00     0.00     0.00     0.00
BV:1.24      BV:1.25          7.09   235.56   -35.95     0.00     0.00     0.00     0.00
BV:1.25      BV:1.26         17.98   178.35    19.07     0.00     0.00     0.00     0.00
BV:1.26      BV:1.27          6.69   187.90   -16.24     0.00     0.00     0.00     0.00
BV:1.27      BV:1.28          4.10   224.37   -29.32     0.00     0.00     0.00     0.00
BV:1.28      BV:1.29         18.77   293.73   -62.40     0.00     0.00     0.00     0.00
BV:1.29      BV:1.30          4.23   282.84   -63.20     0.00     0.00     0.00     0.00
BV:1.21      BV:1.31          9.02    56.16   -11.14     0.00     0.00     0.00     0.00
BV:1.31      BV:1.32          5.74   338.71   -30.51     0.00     0.00     0.00     0.00
BV:1.32      BV:1.33          5.02     5.89    -6.46     0.00     0.00     0.00     0.00
BV:1.33      BV:1.34          7.58   309.79    24.07     0.00     0.00     0.00     0.00
BV:1.34      BV:1.35          8.33   317.90   -18.51     0.00     0.00     0.00     0.00
BV:1.35      BV:1.36          3.64   324.86   -39.71     0.00     0.00     0.00     0.00
BV:1.36      BV:1.37         10.04    46.54   -50.29     0.00     0.00     0.00     0.00
BV:1.37      BV:1.38          7.19   280.81     7.53     0.00     0.00     0.00     0.00
BV:1.38      BV:1.39         13.12   266.68   -30.46     0.00     0.00     0.00     0.00
BV:1.39      BV:1.40          3.71    40.73    60.27     0.00     0.00     0.00     0.00
BV:1.40      BV:1.41          5.71   213.09    24.61     0.00     0.00     0.00     0.00
BV:1.41      BV:1.42         13.45   274.85    17.13     0.00     0.00     0.00     0.00
BV:1.42      BV:1.43          9.51   337.94    32.70     0.00     0.00     0.00     0.00
BV:1.43      BV:1.44          8.76   261.37    21.64     0.00     0.00     0.00     0.00
BV:1.44      BV:1.45         15.52   316.24    14.09     0.00     0.00     0.00     0.00
BV:1.45      BV:1.46         29.82   305.38     8.43     0.00     0.00     0.00     0.00
BV:1.46      BV:1.47          9.65   239.36    12.97     0.00     0.00     0.00     0.00
BV:1.47      BV:1.48          4.10   325.84    -0.69     0.00     0.00     0.00     0.00
BV:1.48      BV:1.49         58.53   274.07   -81.64     0.00     0.00     0.00     0.00
BV:1.48      BV:1.50         11.91   298.39   -22.88     0.00     0.00     0.00     0.00
BV:1.50      BV:1.51         12.73    13.42   -57.74     0.00     0.00     0.00     0.00
BV:1.51      BV:1.52         17.32   141.25   -42.68     0.00     0.00     0.00     0.00
BV:1.39      BV:1.53          7.02    83.96    -2.84     0.00     0.00     0.00     0.00
BV:1.53      BV:1.54         25.10    90.74    -7.11     0.00     0.00     0.00     0.00
BV:1.54      BV:1.55          6.27   117.07    -2.46     0.00     0.00     0.00     0.00
BV:1.55      BV:1.56          7.94   128.28    35.17     0.00     0.00     0.00     0.00
BV:1.56      BV:1.57         13.09    84.28    -5.13     0.00     0.00     0.00     0.00
BV:1.57      BV:1.58          6.92    75.93     6.23     0.00     0.00     0.00     0.00
BV:1.58      BV:1.59          4.69    18.80    58.45     0.00     0.00     0.00     0.00
BV:1.59      BV:1.60          5.74    60.79    16.77     0.00     0.00     0.00     0.00
BV:1.56      BV:1.61         10.89   231.78    53.46     0.00     0.00     0.00     0.00
BV:1.61      BV:1.62         14.24   242.24    42.81     0.00     0.00     0.00     0.00
BV:1.62      BV:1.63          4.95   227.76   -49.39     0.00     0.00     0.00     0.00


