[508] Schacht under dem Stein
SURVEY NAME: SCHACHT_1
SURVEY DATE: 8 7 2016  COMMENT:    TEAM f.filar, b. chlipala
SURVEY TEAM:

DECLINATION:     3.29  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

BW:sch1      BW:0             0.00     0.00     0.00     0.00     0.00     0.00     0.00
BW:0         BW:1            22.97   210.20   -51.00     0.00     0.00     0.00     0.00
BW:1         BW:2            20.54    76.70   -54.80     0.00     0.00     0.00     0.00
BW:2         BW:3            15.45    97.60   -25.20     0.00     0.00     0.00     0.00
BW:3         BW:4            13.71   141.50   -32.20     0.00     0.00     0.00     0.00
BW:4         BW:5            30.28   119.70    -7.80     0.00     0.00     0.00     0.00
BW:5         BW:6            10.86    75.00   -19.60     0.00     0.00     0.00     0.00
BW:6         BW:7             9.42    91.40   -43.70     0.00     0.00     0.00     0.00
BW:7         BW:8            15.22    25.60     4.80     0.00     0.00     0.00     0.00
BW:8         BW:9            18.24   101.70   -12.90     0.00     0.00     0.00     0.00
BW:9         BW:10           11.35   116.70    13.80     0.00     0.00     0.00     0.00
BW:10        BW:11           13.06    74.90     2.60     0.00     0.00     0.00     0.00
BW:11        BW:12           16.60    15.10    -5.70     0.00     0.00     0.00     0.00
BW:12        BW:13            8.14   351.70     2.00     0.00     0.00     0.00     0.00
BW:13        BW:14           27.43   291.90   -38.50     0.00     0.00     0.00     0.00
BW:14        BW:15           15.68   343.00    10.00     0.00     0.00     0.00     0.00
BW:15        BW:16           22.51   269.10    34.30     0.00     0.00     0.00     0.00
BW:16        BW:17           21.59   349.50   -41.70     0.00     0.00     0.00     0.00
BW:17        BW:18           12.27   281.90   -21.50     0.00     0.00     0.00     0.00
BW:13        BW:19           33.27   115.00    40.50     0.00     0.00     0.00     0.00
BW:10        BW:20           33.79   113.70    15.90     0.00     0.00     0.00     0.00
BW:20        BW:21           24.48   177.40    59.00     0.00     0.00     0.00     0.00
BW:10        BW:22           23.95   151.60    -7.70     0.00     0.00     0.00     0.00
BW:22        BW:23           17.59   150.70   -15.40     0.00     0.00     0.00     0.00
BW:23        BW:24           26.35   124.40   -18.10     0.00     0.00     0.00     0.00
BW:24        BW:25           10.93   159.10   -18.50     0.00     0.00     0.00     0.00
BW:25        BW:26           30.31   218.40   -55.00     0.00     0.00     0.00     0.00
BW:24        BW:27           28.38   142.60    28.20     0.00     0.00     0.00     0.00
BW:27        BW:28            3.74   125.90    11.10     0.00     0.00     0.00     0.00
BW:28        BW:29            8.20    80.10     4.80     0.00     0.00     0.00     0.00
BW:29        BW:30           11.71   120.30    -5.90     0.00     0.00     0.00     0.00
BW:30        BW:31            7.78   108.80    38.90     0.00     0.00     0.00     0.00
BW:31        BW:32            9.88   144.60    14.80     0.00     0.00     0.00     0.00
BW:32        BW:33           14.86   113.20    17.20     0.00     0.00     0.00     0.00
BW:33        BW:34           18.34    97.90     7.10     0.00     0.00     0.00     0.00
BW:34        BW:35           15.81    83.50    22.40     0.00     0.00     0.00     0.00
BW:35        BW:36            9.51    82.70    25.00     0.00     0.00     0.00     0.00
BW:36        BW:37            6.27   141.10   -20.20     0.00     0.00     0.00     0.00
BW:37        BW:38            5.64   127.90    26.70     0.00     0.00     0.00     0.00
BW:5         BW:39           13.35     2.20   -42.00     0.00     0.00     0.00     0.00
BW:39        BW:40           13.09    44.10   -46.70     0.00     0.00     0.00     0.00
BW:3         BW:41           17.52   209.60   -11.50     0.00     0.00     0.00     0.00
BW:41        BW:42           30.71   338.80    83.30     0.00     0.00     0.00     0.00


