German_1
SURVEY NAME: GER
SURVEY DATE: 8 9 2017  COMMENT:   Dariusz Lubomski - rysowanie, Anna Nalewaja - DistoX
SURVEY TEAM:

DECLINATION:     3.42  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

E:ger_1      E:1.1            7.71   336.79   -67.47     0.00     0.00     0.00     0.00
E:1.1        E:1.2            8.83   220.91   -66.11     0.00     0.00     0.00     0.00
E:1.2        E:1.3           37.99   289.20   -31.37     0.00     0.00     0.00     0.00
E:1.3        E:1.4           12.07   341.49   -23.88     0.00     0.00     0.00     0.00
E:1.4        E:1.5           10.86   318.22   -29.19     0.00     0.00     0.00     0.00
E:1.5        E:1.6           10.73    11.93   -34.37     0.00     0.00     0.00     0.00
E:1.6        E:1.7            4.56   271.04    -8.16     0.00     0.00     0.00     0.00
E:1.7        E:1.8           12.24   332.19     6.74     0.00     0.00     0.00     0.00
E:1.5        E:1.9           15.75   229.36   -10.52     0.00     0.00     0.00     0.00
E:1.10       E:1.9            6.40   326.88   -14.09     0.00     0.00     0.00     0.00
E:1.10       E:1.11           3.35   245.58    18.63     0.00     0.00     0.00     0.00
E:1.11       E:1.12           3.05   163.44   -54.51     0.00     0.00     0.00     0.00
E:1.12       E:1.13           6.76   217.49     7.15     0.00     0.00     0.00     0.00
E:1.13       E:1.14           3.97   167.44    37.60     0.00     0.00     0.00     0.00
E:1.14       E:1.15           4.33   129.96   -25.81     0.00     0.00     0.00     0.00
E:1.15       E:1.16          17.16   205.96   -78.34     0.00     0.00     0.00     0.00
E:1.16       E:1.17          18.96   346.40   -55.83     0.00     0.00     0.00     0.00
E:1.17       E:1.18          24.77   344.93   -63.42     0.00     0.00     0.00     0.00
E:1.18       E:1.19          23.52   332.71   -57.41     0.00     0.00     0.00     0.00
E:1.19       E:1.20           9.45    24.16   -60.01     0.00     0.00     0.00     0.00
E:1.20       E:1.21           4.63   299.28   -31.93     0.00     0.00     0.00     0.00
E:1.21       E:1.22           8.86   251.39   -60.04     0.00     0.00     0.00     0.00
E:1.22       E:1.23           7.22   316.22     6.13     0.00     0.00     0.00     0.00
E:1.23       E:1.24           3.74   359.78   -62.15     0.00     0.00     0.00     0.00
E:1.24       E:1.25           5.77   310.00    10.94     0.00     0.00     0.00     0.00
E:1.25       E:1.26           6.92   310.76   -77.44     0.00     0.00     0.00     0.00
E:1.26       E:1.27           4.43   303.41    10.58     0.00     0.00     0.00     0.00
E:1.27       E:1.28           5.15   298.86   -41.60     0.00     0.00     0.00     0.00


