Gerollenheim
SURVEY NAME: GEROLLENHEIM
SURVEY DATE: 8 6 2014  COMMENT:  ;dm
SURVEY TEAM:

DECLINATION:     3.03  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

H:ger        H:1.1           12.37   282.91   -27.47     0.00     0.00     0.00     0.00
H:1.1        H:1.2            6.10   269.97    -8.67     0.00     0.00     0.00     0.00
H:1.2        H:1.3           19.95   236.75   -11.92     0.00     0.00     0.00     0.00
H:1.3        H:1.4           11.68   224.37    10.67     0.00     0.00     0.00     0.00
H:1.4        H:1.5           14.17   187.09     5.05     0.00     0.00     0.00     0.00
H:1.5        H:1.6           10.70   235.48   -27.86     0.00     0.00     0.00     0.00
H:1.6        H:1.7           20.90   110.50    18.46     0.00     0.00     0.00     0.00
H:1.7        H:1.8           12.83    66.34     2.80     0.00     0.00     0.00     0.00
H:1.6        H:1.9           24.18   218.71   -17.66     0.00     0.00     0.00     0.00
H:1.9        H:1.10          24.44   202.84   -10.94     0.00     0.00     0.00     0.00
H:1.10       H:1.11          17.98   269.12   -20.70     0.00     0.00     0.00     0.00
H:1.11       H:1.12          36.09   227.97    29.28     0.00     0.00     0.00     0.00
H:1.12       H:1.13          10.83   224.88    22.83     0.00     0.00     0.00     0.00
H:1.11       H:1.14          61.68   328.69    32.25     0.00     0.00     0.00     0.00
H:1.11       H:1.15          24.02   272.72    -0.78     0.00     0.00     0.00     0.00
H:1.15       H:1.16          21.00   306.19    30.95     0.00     0.00     0.00     0.00
H:1.15       H:1.17          13.85     8.24   -14.98     0.00     0.00     0.00     0.00
H:1.17       H:1.18           6.82   284.79   -60.44     0.00     0.00     0.00     0.00
H:1.18       H:1.19           7.38    18.05   -62.44     0.00     0.00     0.00     0.00
H:1.19       H:1.20           4.30   215.92   -69.58     0.00     0.00     0.00     0.00
H:1.20       H:1.21           4.63   281.70   -69.75     0.00     0.00     0.00     0.00
H:1.21       H:1.22           6.17    33.69   -61.97     0.00     0.00     0.00     0.00
H:1.22       H:1.23          10.20   192.72    -2.67     0.00     0.00     0.00     0.00
H:1.23       H:1.24          12.99   356.43    -6.20     0.00     0.00     0.00     0.00
H:1.23       H:1.25           9.38   292.87   -33.16     0.00     0.00     0.00     0.00
H:1.25       H:1.26           4.76   254.85   -34.59     0.00     0.00     0.00     0.00
H:1.26       H:1.27           8.33   295.85   -52.82     0.00     0.00     0.00     0.00
H:1.27       H:1.28           8.01   283.80   -27.64     0.00     0.00     0.00     0.00
H:1.28       H:1.29          13.45   350.74   -31.12     0.00     0.00     0.00     0.00
H:1.29       H:1.30          10.10    50.01    29.77     0.00     0.00     0.00     0.00
H:1.30       H:1.31           6.63   115.22    36.73     0.00     0.00     0.00     0.00
H:1.31       H:1.32           4.95    38.23     9.69     0.00     0.00     0.00     0.00
H:1.32       H:1.33           5.45   137.46    33.55     0.00     0.00     0.00     0.00
H:1.33       H:1.34          14.07   109.10    40.75     0.00     0.00     0.00     0.00
H:1.34       H:1.35           3.71    83.61    34.95     0.00     0.00     0.00     0.00
H:1.35       H:1.36           6.69   194.48    19.00     0.00     0.00     0.00     0.00
H:1.36       H:1.23          14.76   188.01     7.44     0.00     0.00     0.00     0.00
H:1.29       H:1.37           7.25   290.65   -22.51     0.00     0.00     0.00     0.00
H:1.37       H:1.38          17.88   287.80   -24.14     0.00     0.00     0.00     0.00
H:1.38       H:1.39           7.84    36.93   -58.51     0.00     0.00     0.00     0.00
H:1.38       H:1.40          30.77   270.91   -32.13     0.00     0.00     0.00     0.00
H:1.40       H:1.41          18.41   288.77   -20.71     0.00     0.00     0.00     0.00
H:1.41       H:1.42          11.35   186.84   -13.39     0.00     0.00     0.00     0.00
H:1.42       H:1.43          14.14   282.04   -11.42     0.00     0.00     0.00     0.00
H:1.43       H:1.44          12.96   198.01   -14.21     0.00     0.00     0.00     0.00
H:1.44       H:1.45           5.84   241.17     7.79     0.00     0.00     0.00     0.00
H:1.45       H:1.46          15.55   183.37   -11.64     0.00     0.00     0.00     0.00
H:1.46       H:1.47          14.07   236.18    -3.31     0.00     0.00     0.00     0.00
H:1.47       H:1.48          17.91     0.84   -34.26     0.00     0.00     0.00     0.00
H:1.48       H:1.49           5.45   140.10   -65.10     0.00     0.00     0.00     0.00
H:1.49       H:1.50           6.76    17.53   -33.75     0.00     0.00     0.00     0.00
H:1.47       H:1.51          10.53   200.32    35.42     0.00     0.00     0.00     0.00
H:1.51       H:1.52           7.35   132.05    42.05     0.00     0.00     0.00     0.00
