Kahl_1
SURVEY NAME: 180807
SURVEY DATE: 8 7 2018  COMMENT:   Dariusz Lubomski(Palm); Tomasz Raczynski (Disto)
SURVEY TEAM:

DECLINATION:     3.55  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

D:1.0        D:k1             0.00     0.00     0.00     0.00     0.00     0.00     0.00
D:1.0        D:1.1           16.44   180.44    -4.13     0.00     0.00     0.00     0.00
D:1.1        D:1.2           34.81   166.35   -50.98     0.00     0.00     0.00     0.00
D:1.2        D:1.3           10.86   285.51   -25.68     0.00     0.00     0.00     0.00
D:1.3        D:1.4           26.18   189.73   -53.79     0.00     0.00     0.00     0.00
D:1.4        D:1.5           20.31   252.73   -26.61     0.00     0.00     0.00     0.00
D:1.5        D:1.6           20.64   117.50   -10.63     0.00     0.00     0.00     0.00
D:1.6        D:1.7            5.28    18.21   -40.44     0.00     0.00     0.00     0.00
D:1.7        D:1.8           16.86   247.18   -73.46     0.00     0.00     0.00     0.00
D:1.8        D:1.9           22.01   241.61   -57.64     0.00     0.00     0.00     0.00
D:1.9        D:1.10          17.68   297.55   -19.65     0.00     0.00     0.00     0.00
D:1.9        D:1.11          11.29    67.35     0.38     0.00     0.00     0.00     0.00
D:1.11       D:1.12          12.57   164.64    10.41     0.00     0.00     0.00     0.00
D:1.12       D:1.13          15.52    92.46    24.94     0.00     0.00     0.00     0.00
D:1.13       D:1.14           4.95    48.77    23.81     0.00     0.00     0.00     0.00
D:1.6        D:1.15           4.40   275.51     4.80     0.00     0.00     0.00     0.00
D:1.15       D:1.16           3.71   172.79    19.79     0.00     0.00     0.00     0.00
D:1.16       D:1.17           6.50   200.74   -32.29     0.00     0.00     0.00     0.00
D:1.17       D:1.18           5.97   258.78    27.40     0.00     0.00     0.00     0.00
D:1.18       D:1.19          13.55   253.40   -31.28     0.00     0.00     0.00     0.00
D:1.19       D:1.20           5.48   247.40    10.81     0.00     0.00     0.00     0.00
D:1.20       D:1.21           7.64   260.04   -28.54     0.00     0.00     0.00     0.00
D:1.21       D:1.22           1.61   239.31    29.12     0.00     0.00     0.00     0.00
D:1.22       D:1.23           6.96   271.28    -7.25     0.00     0.00     0.00     0.00
D:1.23       D:1.24           3.64    72.15   -59.62     0.00     0.00     0.00     0.00
D:1.24       D:1.25          14.73   303.76   -65.06     0.00     0.00     0.00     0.00
D:1.25       D:1.26           9.09   235.59   -17.93     0.00     0.00     0.00     0.00
D:1.26       D:1.27           8.40   282.48   -20.35     0.00     0.00     0.00     0.00
D:1.27       D:1.28           3.22   327.41     9.22     0.00     0.00     0.00     0.00
D:1.28       D:1.29          11.78   278.98    -8.54     0.00     0.00     0.00     0.00
D:1.29       D:1.30           6.59   319.68    -4.60     0.00     0.00     0.00     0.00
D:1.30       D:1.31           4.46    20.99    46.80     0.00     0.00     0.00     0.00
D:1.31       D:1.32           4.95   233.24    35.50     0.00     0.00     0.00     0.00
D:1.5        D:1.5.1         86.58   223.20    83.44     0.00     0.00     0.00     0.00  ;domiar
D:1.32       D:1.32.1       135.04    95.23    82.91     0.00     0.00     0.00     0.00  ;domiar
D:1.32       D:1.32.2        32.64   297.85   -27.89     0.00     0.00     0.00     0.00  ;domiar


