Kahl_2
SURVEY NAME: 180808
SURVEY DATE: 8 8 2018  COMMENT:    DariuszLubomski (Palm), Marta Katafiasz (Disto)
SURVEY TEAM:

DECLINATION:     3.55  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

C:k2         C:1.0            0.00     0.00     0.00     0.00     0.00     0.00     0.00
C:1.0        C:1.1            7.91   237.38   -88.59     0.00     0.00     0.00     0.00
C:1.1        C:1.2           28.64   209.45   -69.11     0.00     0.00     0.00     0.00
C:1.2        C:1.3           24.54   193.66   -70.45     0.00     0.00     0.00     0.00
C:1.3        C:1.4            5.45   263.45    10.00     0.00     0.00     0.00     0.00
C:1.4        C:1.5            9.02   220.09   -14.36     0.00     0.00     0.00     0.00
C:1.5        C:1.6           15.58   305.09    -8.56     0.00     0.00     0.00     0.00
C:1.6        C:1.7           11.58    16.85   -47.31     0.00     0.00     0.00     0.00
C:1.7        C:1.8            8.43   131.89   -46.27     0.00     0.00     0.00     0.00
C:1.8        C:1.9           14.99    72.69   -12.30     0.00     0.00     0.00     0.00
C:1.9        C:1.10          10.50    74.83    -7.60     0.00     0.00     0.00     0.00
C:1.10       C:1.11          12.50    84.21    -3.91     0.00     0.00     0.00     0.00
C:1.7        C:1.12          10.79   281.23   -39.49     0.00     0.00     0.00     0.00
C:1.12       C:1.13          15.55   305.34    -0.92     0.00     0.00     0.00     0.00
C:1.13       C:1.14           8.17   229.60   -17.05     0.00     0.00     0.00     0.00
C:1.14       C:1.15           9.15   285.50    11.32     0.00     0.00     0.00     0.00
C:1.15       C:1.16          12.43   229.38    11.66     0.00     0.00     0.00     0.00
C:1.16       C:1.17          14.67   300.15    -9.87     0.00     0.00     0.00     0.00
C:1.17       C:1.18          18.21    44.78    44.27     0.00     0.00     0.00     0.00
C:1.18       C:1.19           6.82    88.31   -11.50     0.00     0.00     0.00     0.00
C:1.19       C:1.20          10.66   133.50    20.84     0.00     0.00     0.00     0.00
C:1.20       C:1.21           7.02    81.49     1.12     0.00     0.00     0.00     0.00
C:1.21       C:1.22          18.11    91.49     7.11     0.00     0.00     0.00     0.00
C:1.22       C:1.23          13.58   171.83    23.49     0.00     0.00     0.00     0.00
C:1.23       C:1.24          10.24   118.03   -44.23     0.00     0.00     0.00     0.00
C:1.5        C:1.25          16.17   220.10   -26.56     0.00     0.00     0.00     0.00
C:1.25       C:1.26          18.70   164.25    -0.65     0.00     0.00     0.00     0.00
C:1.26       C:1.27           8.60   170.41     6.04     0.00     0.00     0.00     0.00
C:1.27       C:1.28          12.80   178.85    26.33     0.00     0.00     0.00     0.00
C:1.28       C:1.29           9.91   125.32    26.40     0.00     0.00     0.00     0.00
C:1.29       C:1.30          12.57   179.82     3.50     0.00     0.00     0.00     0.00
C:1.30       C:1.31           8.20   228.22    10.90     0.00     0.00     0.00     0.00
C:1.31       C:1.32          13.55   319.33   -55.58     0.00     0.00     0.00     0.00
C:1.32       C:1.33          30.71   270.68   -44.09     0.00     0.00     0.00     0.00
C:1.33       C:1.34           6.66   321.86   -12.92     0.00     0.00     0.00     0.00
C:1.34       C:1.35          21.62   279.51   -42.55     0.00     0.00     0.00     0.00
C:1.35       C:1.36          10.96   159.91   -41.19     0.00     0.00     0.00     0.00
C:1.36       C:1.37          15.35   101.98   -41.40     0.00     0.00     0.00     0.00
C:1.35       C:1.38          20.37   130.18    31.36     0.00     0.00     0.00     0.00
C:1.38       C:1.39          11.32   178.25    -6.09     0.00     0.00     0.00     0.00
C:1.39       C:1.40          13.55   177.55     4.13     0.00     0.00     0.00     0.00
C:1.17       C:1.17.1        41.44   325.29    60.62     0.00     0.00     0.00     0.00  ;domiar
C:1.37       C:1.37.1        20.41   129.43   -38.94     0.00     0.00     0.00     0.00  ;domiar


