SZ38
SURVEY NAME: LKA7
SURVEY DATE: 8 1 2018  COMMENT:   team Warszawka?
SURVEY TEAM:

DECLINATION:     3.55  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

A:1.0        A:1.1            7.35   266.19   -58.44     0.00     0.00     0.00     0.00
A:1.1        A:1.2           10.20   317.51   -44.71     0.00     0.00     0.00     0.00
A:1.2        A:1.3            8.40   318.76   -48.49     0.00     0.00     0.00     0.00
A:1.3        A:1.4            5.15   312.16   -32.42     0.00     0.00     0.00     0.00
A:1.4        A:1.5            4.79    36.04   -25.77     0.00     0.00     0.00     0.00
A:1.5        A:1.6           13.75   283.28   -26.85     0.00     0.00     0.00     0.00
A:1.6        A:1.7           11.52     8.20   -59.11     0.00     0.00     0.00     0.00
A:1.7        A:1.8           11.52   298.77    57.97     0.00     0.00     0.00     0.00
A:1.7        A:1.9           11.78   126.01     2.30     0.00     0.00     0.00     0.00
A:1.9        A:1.10           6.99   328.35    74.73     0.00     0.00     0.00     0.00
A:1.10       A:1.11           9.71   265.58    14.97     0.00     0.00     0.00     0.00
A:1.9        A:1.12           5.87    26.95   -44.94     0.00     0.00     0.00     0.00
A:1.13       A:1.12          16.24   247.39    80.20     0.00     0.00     0.00     0.00
A:1.7        A:1.14           6.73    12.99   -26.97     0.00     0.00     0.00     0.00
A:1.14       A:1.15           7.55   316.02    -9.42     0.00     0.00     0.00     0.00
A:1.15       A:1.16          10.89   325.24   -16.60     0.00     0.00     0.00     0.00
A:1.16       A:1.17           4.72    10.00     5.68     0.00     0.00     0.00     0.00
A:1.17       A:1.18           8.20   290.94   -38.48     0.00     0.00     0.00     0.00
A:1.18       A:1.19          10.27   324.90   -38.00     0.00     0.00     0.00     0.00
A:1.13       A:1.13.1         6.56    67.58   -79.15     0.00     0.00     0.00     0.00  ;domiar
A:1.19       A:1.19.1         5.45   321.65   -18.85     0.00     0.00     0.00     0.00  ;domiar


